question-id,full_item,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15,Field 16,Field 17,Field 18,Field 19,Field 20,Field 21,Field 22,Field 23,Field 24,Field 25,Field 26,Field 27,Field 28,Field 29,Field 30,Field 31,Field 32,Field 33,Field 34,Field 35,Field 36,Field 37,Field 38,Field 39,Field 40,Field 41,Field 42,Field 43,Field 44,Field 45,Field 46,Field 47,Field 48,Field 49,Field 50,Field 51,Field 52,Field 53,Field 54,Field 55,Field 56,Field 57,Field 58,Field 59,Field 60,Field 61
B3,I tend to analyze things,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0
B4,I use my brain,3.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0
B5,I learn quickly,3.0,3.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
B6,I counter others' arguments,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0
B7,I reflect on things before acting,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,1.0,1.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,5.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,2.0
B8,I weigh the pros against the cons,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0
B10,I get confused easily,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0
B11,I know that i am not a special person,2.0,3.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,5.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,1.0,2.0
B12,I have a poor vocabulary,3.0,3.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0
B13,I skip difficult words while reading,3.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0
C1,I seldom feel blue,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0,2.0,4.0,2.0,1.0,5.0,3.0,2.0,4.0,5.0,4.0,2.0
C2,I feel comfortable with myself,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,5.0,5.0
C3,I readily overcome setbacks,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0
C4,I am relaxed most of the time,3.0,3.0,5.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0
C5,I am not easily frustrated,2.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,1.0,2.0,4.0,3.0,2.0,5.0,1.0,3.0,5.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0
C6,I have frequent mood swings,3.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,5.0,4.0,2.0,3.0,5.0,3.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0
C7,I often feel blue,3.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,3.0,4.0,5.0,4.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0
C9,I feel desperate,3.0,3.0,5.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0
C10,I am easily discouraged,3.0,3.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0
D1,I take charge,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0
D2,I want to be in charge,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0
D3,I say what i think,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,4.0,2.0,4.0,5.0,4.0,4.0
D4,I am not afraid of providing criticism,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0
D5,I take control of things,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0
D6,I can take strong measures,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0
D7,I wait for others to lead the way,3.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0
D8,I never challenge things,3.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0
D9,I let others make the decisions,5.0,3.0,4.0,5.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0
D10,I let myself be pushed around,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0
E2,I love large parties,3.0,3.0,5.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,4.0,1.0,3.0,4.0,4.0,5.0,1.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,2.0,4.0,5.0
E3,I joke around a lot,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0
E4,I enjoy being part of a loud crowd,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,5.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,5.0
E5,I amuse my friends,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0
E6,I act wild and crazy,3.0,3.0,3.0,4.0,2.0,4.0,1.0,2.0,4.0,5.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,5.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,5.0,3.0,5.0
E7,I seldom joke around,3.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0
E8,I don't like crowded events,3.0,3.0,1.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,5.0,3.0,3.0,2.0,1.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,1.0,3.0,2.0,3.0,2.0
E9,I am the last to laugh at a joke,3.0,3.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
E10,I dislike loud music,3.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,4.0,4.0,1.0,3.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,5.0,2.0,2.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0
F1,I believe laws should be strictly enforced,3.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,2.0,4.0,4.0,5.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0,5.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,5.0,2.0,5.0,4.0,3.0,3.0,2.0
F2,I try to follow the rules,3.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,2.0
F3,I believe in one true religion,3.0,3.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,2.0,3.0,3.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,5.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0
F4,I respect authority,3.0,3.0,5.0,4.0,4.0,4.0,5.0,2.0,5.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0
F5,I like to stand during the national anthem,3.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,1.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,5.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0,5.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0
