question-id,item,grammartical_item,construct,encoding
G2,i talk to a lot of different people at parties,i talk to a lot of different people at parties,H,1
G3,i don't mind being the center of attention,i don't mind being the center of attention,H,1
G4,i make friends easily,i make friends easily,H,1
G5,i start conversations,i start conversations,H,1
G6,i find it difficult to approach others,i find it difficult to approach others,H,-1
G7,i often feel uncomfortable around others,i often feel uncomfortable around others,H,-1
G8,i have little to say,i have little to say,H,-1
G9,i am quiet around strangers,i am quiet around strangers,H,-1
G10,i keep in the background,i keep in the background,H,-1
H1,i like to read,i like to read,I,1
H2,i enjoy discussing movies and books with others,i enjoy discussing movies and books with others,I,1
H3,i read a lot,i read a lot,I,1
H4,i don't like action movies,i don't like action movies,I,1
H5,i cry during movies,i cry during movies,I,1
H6,i love flowers,i love flowers,I,1
H7,i do not enjoy watching dance performances,i do not enjoy watching dance performances,I,-1
H8,i do not like poetry,i do not like poetry,I,-1
H9,i dislike works of fiction,i dislike works of fiction,I,-1
H10,i rarely notice my emotional reactions,i rarely notice my emotional reactions,I,-1
I1,i find it hard to forgive others,i find it hard to forgive others,L,1
I2,i suspect hidden motives in others,i suspect hidden motives in others,L,1
I3,i am wary of others,i am wary of others,L,1
I4,i distrust people,i distrust people,L,1
I5,i believe that people seldom tell you the whole truth,i believe that people seldom tell you the whole truth,L,1
I6,i believe that people are essentially evil,i believe that people are essentially evil,L,1
I7,i trust what people say,i trust what people say,L,-1
I8,i trust others,i trust others,L,-1
I9,i believe that others have good intentions,i believe that others have good intentions,L,-1
I10,i believe that people are basically moral,i believe that people are basically moral,L,-1
J1,i do things that others find strange,i do things that others find strange,M,1
J2,i like to get lost in thought,i like to get lost in thought,M,1
J3,i enjoy wild flights of fantasy,i enjoy wild flights of fantasy,M,1
J4,i love to daydream,i love to daydream,M,1
J5,i swim against the current,i swim against the current,M,1
J6,i take deviant positions,i take deviant positions,M,1
J7,i do unexpected things,i do unexpected things,M,1
J8,i do things by the book,i do things by the book,M,-1
J9,i seldom daydream,i seldom daydream,M,-1
J10,i seldom get lost in thought,i seldom get lost in thought,M,-1
K1,i reveal little about myself,i reveal little about myself,N,1
K2,i am hard to get to know,i am hard to get to know,N,1
K3,i don't talk a lot,i don't talk a lot,N,1
K4,i bottle up my feelings,i bottle up my feelings,N,1
K5,i keep my thoughts to myself,i keep my thoughts to myself,N,1
K6,i am open about myself to others,i am open about myself to others,N,-1
K7,i am open about my feelings,i am open about my feelings,N,-1
K8,i disclose my intimate thoughts,i disclose my intimate thoughts,N,-1
K9,i show my feelings,i show my feelings,N,-1
K10,i am willing to talk about myself,i am willing to talk about myself,N,-1
L1,i am afraid that i will do the wrong thing,i am afraid that i will do the wrong thing,O,1
L2,i feel threatened easily,i feel threatened easily,O,1
L3,i am easily hurt,i am easily hurt,O,1
L4,i worry about things,i worry about things,O,1
L5,i spend time thinking about past mistakes,i spend time thinking about past mistakes,O,1
L6,i feel guilty when i say 'no',i feel guilty when i say 'no',O,1
L7,i feel crushed by setbacks,i feel crushed by setbacks,O,1
L8,i don't worry about things that have already happened,i don't worry about things that have already happened,O,-1
L9,i am not easily bothered by things,i am not easily bothered by things,O,-1
L10,i don't let others discourage me,i don't let others discourage me,O,-1
M1,i believe in the importance of art,i believe in the importance of art,Q1,1
M2,i love to think up new ways of doing things,i love to think up new ways of doing things,Q1,1
M3,i enjoy hearing new ideas,i enjoy hearing new ideas,Q1,1
M4,i carry the conversation to a higher level,i carry the conversation to a higher level,Q1,1
M5,i prefer variety to routine,i prefer variety to routine,Q1,1
M6,i avoid philosophical discussions,i avoid philosophical discussions,Q1,-1
M7,i rarely look for a deeper meaning in things,i rarely look for a deeper meaning in things,Q1,-1
M8,i am not interested in theoretical discussions,i am not interested in theoretical discussions,Q1,-1
M9,i am not interested in abstract ideas,i am not interested in abstract ideas,Q1,-1
M10,i try to avoid complex people,i try to avoid complex people,Q1,-1
N1,i want to be left alone,i want to be left alone,Q2,1
N2,i prefer to do things by myself,i prefer to do things by myself,Q2,1
N3,i enjoy spending time by myself,i enjoy spending time by myself,Q2,1
N4,i seek quiet,i seek quiet,Q2,1
N5,i don't mind eating alone,i don't mind eating alone,Q2,1
N6,i enjoy silence,i enjoy silence,Q2,1
N7,i enjoy my privacy,i enjoy my privacy,Q2,1
N8,i enjoy being part of a group,i enjoy being part of a group,Q2,-1
N9,i enjoy teamwork,i enjoy teamwork,Q2,-1
N10,i can't do without the company of others,i can't do without the company of others,Q2,-1
O1,i want everything to be 'just right',i want everything to be 'just right',Q3,1
O2,i get chores done right away,i get chores done right away,Q3,1
O3,i like order,i like order,Q3,1
O4,i continue until everything is perfect,i continue until everything is perfect,Q3,1
O5,i am exacting in my work,i am exacting in my work,Q3,1
O6,i am not bothered by messy people,i am not bothered by messy people,Q3,-1
O7,i am not bothered by disorder,i am not bothered by disorder,Q3,-1
O8,i leave a mess in my room,i leave a mess in my room,Q3,-1
O9,i leave my belongings around,i leave my belongings around,Q3,-1
O10,i put off unpleasant tasks,i put off unpleasant tasks,Q3,-1
P1,i get irritated easily,i get irritated easily,Q4,1
P2,i get angry easily,i get angry easily,Q4,1
P3,i am quick to judge others,i am quick to judge others,Q4,1
P4,i am annoyed by others' mistakes,i am annoyed by others' mistakes,Q4,1
P5,i am easily put out,i am easily put out,Q4,1
P6,i can't stand being contradicted,i can't stand being contradicted,Q4,1
P7,i judge people by their appearance,i judge people by their appearance,Q4,1
P8,i am not easily annoyed,i am not easily annoyed,Q4,-1
P9,i try to forgive and forget,i try to forgive and forget,Q4,-1
P10,i have a good word for everyone,i have a good word for everyone,Q4,-1
