question-id,item,grammartical_item,construct,encoding
q124,am able to see the best in a situation,i am able to see the best in a situation,not assigned,
q125,am able to see the big picture,i am able to see the big picture,not assigned,
q126,am able to stand up for myself,i am able to stand up for myself,self-consciousness,-1.0
q127,am able to understand how other people see problems,i am able to understand how other people see problems,not assigned,
q128,am able to work hard to achieve results that i will only get at a time far in the future,i am able to work hard to achieve results that i will only get at a time far in the future,not assigned,
q129,am able to work hard to solve problems even when it takes a long time,i am able to work hard to solve problems even when it takes a long time,not assigned,
q130,am afraid of being left alone,i am afraid of being left alone,not assigned,
q131,am afraid of heights,i am afraid of heights,risk-taking/sensation-seeking/thrill-seeking,-1.0
q132,am afraid of large dogs,i am afraid of large dogs,risk-taking/sensation-seeking/thrill-seeking,-1.0
q133,am afraid of losing control of my anger,i am afraid of losing control of my anger,not assigned,
q134,am afraid of many things,i am afraid of many things,self-efficacy,1.0
q135,am afraid of more things than others are,i am afraid of more things than others are,not assigned,
q136,am afraid that i will do the wrong thing,i am afraid that i will do the wrong thing,toughness,-1.0
q137,am afraid that my life will be cut short by illness,i am afraid that my life will be cut short by illness,health anxiety,1.0
q138,am afraid to draw attention to myself,i am afraid to draw attention to myself,self-consciousness,1.0
q139,am afraid to reach out for love,i am afraid to reach out for love,not assigned,
q140,am always aware of how i am presenting myself,i am always aware of how i am presenting myself,not assigned,
q141,am always busy,i am always busy,assertiveness,1.0
q142,am always busy with something interesting,i am always busy with something interesting,curiosity,1.0
q143,am always in the same mood,i am always in the same mood,tranquility,1.0
q144,am always joking,i am always joking,not assigned,
q145,am always looking for a rush of excitement,i am always looking for a rush of excitement,not assigned,
q146,am always on the go,i am always on the go,activity-level,1.0
q147,am always on time,i am always on time,not assigned,
q148,am always prepared,i am always prepared,purposefulness,1.0
q149,am always ready to start afresh,i am always ready to start afresh,unlikely virtues,1.0
q150,am always worried about something,i am always worried about something,behavioral inhibition/activation system,1.0
q151,am always worried that my partner is going to leave me,i am always worried that my partner is going to leave me,relationship insecurity,1.0
q152,am an energetic person,i am an energetic person,anhedonia,-1.0
q153,am an eternal pessimist,i am an eternal pessimist,not assigned,
q154,am an extraordinary person,i am an extraordinary person,not assigned,
q155,am an extremely grateful person,i am an extremely grateful person,gratitude,1.0
q156,am an extremely loyal person,i am an extremely loyal person,teamwork/citizenship,1.0
q157,am an honest person,i am an honest person,manipulativeness,-1.0
q158,am an ordinary person with ordinary skills and abilities,i am an ordinary person with ordinary skills and abilities,not assigned,
q159,am an original thinker,i am an original thinker,creativity/originality,1.0
q160,am angry or distressed when my partner pays more attention to someone else,i am angry or distressed when my partner pays more attention to someone else,not assigned,
q161,am annoyed by others mistakes,i am annoyed by others mistakes,emotionality,1.0
q162,am apprehensive about new encounters,i am apprehensive about new encounters,forcefulness,-1.0
q163,am approached often by people who want help advice or guidance with their problems,i am approached often by people who want help advice or guidance with their problems,not assigned,
q164,am ashamed of myself,i am ashamed of myself,not assigned,
q165,am asked for advice by friends and family,i am asked for advice by friends and family,not assigned,
q166,am asked for favors by my friends and family,i am asked for favors by my friends and family,not assigned,
q167,am attached to conventional ways,i am attached to conventional ways,adventurousness,-1.0
q168,am aware of how my feelings are affecting other people,i am aware of how my feelings are affecting other people,not assigned,
q169,am aware of my feelings,i am aware of my feelings,not assigned,
q170,am basically a decent person,i am basically a decent person,not assigned,
q171,am bothered by frequent aches and pains,i am bothered by frequent aches and pains,not assigned,
q172,am calm even in tense situations,i am calm even in tense situations,toughness,1.0
q173,am capable of working alone,i am capable of working alone,not assigned,
q174,am careful to avoid making mistakes,i am careful to avoid making mistakes,conscientiousness,1.0
q175,am careful to consider how things i do now will affect future outcomes,i am careful to consider how things i do now will affect future outcomes,not assigned,
q176,am certain that i am being talked about,i am certain that i am being talked about,not assigned,
q177,am chubby,i am chubby,not assigned,
q178,am comfortable in unfamiliar situations,i am comfortable in unfamiliar situations,self-consciousness,-1.0
q179,am committed to principles of justice and equality,i am committed to principles of justice and equality,equity/fairness,1.0
q180,am concerned about others,i am concerned about others,empathy,1.0
q181,am considered a yes person,i am considered a yes person,not assigned,
q182,am considered attractive by others,i am considered attractive by others,physical attractiveness,1.0
q183,am considered by others to be weird,i am considered by others to be weird,not assigned,
q184,am considered fun to be with,i am considered fun to be with,not assigned,
q185,am considered short,i am considered short,not assigned,
q186,am considered tall,i am considered tall,not assigned,
q187,am considered to be a wise person,i am considered to be a wise person,wisdom/perspective,1.0
q188,am considered to be kind of eccentric,i am considered to be kind of eccentric,peculiarity,1.0
q189,am considered well-off financially,i am considered well-off financially,not assigned,
q190,am constantly reflecting about myself,i am constantly reflecting about myself,introspection/private self-consciousness,1.0
q191,am content with my life,i am content with my life,not assigned,
q192,am continually losing things,i am continually losing things,orderliness,-1.0
q193,am convinced my doctor is lying to me,i am convinced my doctor is lying to me,not assigned,
q194,am convinced that i am dying,i am convinced that i am dying,not assigned,
q195,am convinced that my way is the best way,i am convinced that my way is the best way,rigidity,1.0
q196,am curious about how various kinds of trees differ from each other,i am curious about how various kinds of trees differ from each other,not assigned,
q197,am deeply moved by others misfortunes,i am deeply moved by others misfortunes,empathy,1.0
q198,am dependent on others for things that i should be able to do myself,i am dependent on others for things that i should be able to do myself,not assigned,
q199,am described as grumpy,i am described as grumpy,vitality/enthusiasm/zest,-1.0
q200,am described by friends and family as a disciplined person,i am described by friends and family as a disciplined person,not assigned,
q201,am described by others as a good team-player,i am described by others as a good team-player,not assigned,
q202,am determined to finish a task when i start it,i am determined to finish a task when i start it,not assigned,
q203,am devoted to religion,i am devoted to religion,traditionalism,1.0
q204,am different compared to most people,i am different compared to most people,not assigned,
q205,am eager to soothe hurt feelings,i am eager to soothe hurt feelings,excitement-seeking,1.0
q206,am easily annoyed,i am easily annoyed,patience,-1.0
q207,am easily calmed down by others,i am easily calmed down by others,not assigned,
q208,am easily confused,i am easily confused,toughness,-1.0
q209,am easily controlled by others in my life,i am easily controlled by others in my life,submissiveness,1.0
q210,am easily deterred,i am easily deterred,not assigned,
q211,am easily discouraged,i am easily discouraged,anxiety,1.0
q212,am easily discouraged in difficult situations,i am easily discouraged in difficult situations,not assigned,
q213,am easily disoriented,i am easily disoriented,cognitive problems,1.0
q214,am easily distracted,i am easily distracted,purposefulness,-1.0
q215,am easily distracted when i am trying to focus my attention,i am easily distracted when i am trying to focus my attention,not assigned,
q216,am easily disturbed,i am easily disturbed,emotional stability,-1.0
q217,am easily excited,i am easily excited,impulse-control,-1.0
q218,am easily frightened,i am easily frightened,toughness,-1.0
q219,am easily frustrated,i am easily frustrated,not assigned,
q220,am easily hurt,i am easily hurt,anxiety,1.0
q221,am easily impressed,i am easily impressed,not assigned,
q222,am easily influenced,i am easily influenced,not assigned,
q223,am easily intimidated,i am easily intimidated,self-confidence,-1.0
q224,am easily moved to tears,i am easily moved to tears,sentimentality,1.0
q225,am easily offended,i am easily offended,agreeableness,-1.0
q226,am easily overpowered when decisions need to be made,i am easily overpowered when decisions need to be made,not assigned,
q227,am easily put out,i am easily put out,politeness,-1.0
q228,am easily startled,i am easily startled,anxiety,1.0
q229,am easily talked into doing silly things,i am easily talked into doing silly things,sociability,1.0
q230,am easy to fool,i am easy to fool,not assigned,
q231,am easy to persuade,i am easy to persuade,not assigned,
q232,am easy to satisfy,i am easy to satisfy,pleasantness,1.0
q233,am embarrassed by praise,i am embarrassed by praise,not assigned,
q234,am embarrassed to have people see my home,i am embarrassed to have people see my home,satisfaction,-1.0
q235,am emotionally reserved,i am emotionally reserved,emotional detachment,1.0
q236,am entitled to the best,i am entitled to the best,not assigned,
q237,am exacting in my work,i am exacting in my work,conscientiousness,1.0
q238,am excited by many different activities,i am excited by many different activities,curiosity,1.0
q239,am excited to inflict pain on others,i am excited to inflict pain on others,hostile aggression,1.0
q240,am faithful to old friends,i am faithful to old friends,not assigned,
q241,am fascinated by how machines work,i am fascinated by how machines work,not assigned,
q242,am fascinated by numbers,i am fascinated by numbers,not assigned,
q243,am filled with doubts about things,i am filled with doubts about things,perfectionism,1.0
q244,am forceful in relationships with friends and family,i am forceful in relationships with friends and family,not assigned,
q245,am free of prejudice,i am free of prejudice,not assigned,
q246,am full of ideas,i am full of ideas,creativity/originality,1.0
q247,am generally a fearful person,i am generally a fearful person,anxiety,1.0
q248,am generally fearful of bad things that could happen,i am generally fearful of bad things that could happen,not assigned,
q249,am good at analyzing problems,i am good at analyzing problems,not assigned,
q250,am good at getting people to do what i want,i am good at getting people to do what i want,not assigned,
q251,am good at helping people work well together,i am good at helping people work well together,leadership,1.0
q252,am good at making excuses for my bad behavior,i am good at making excuses for my bad behavior,not assigned,
q253,am good at making impromptu speeches,i am good at making impromptu speeches,social boldness,1.0
q254,am good at making jokes,i am good at making jokes,not assigned,
q255,am good at making people laugh,i am good at making people laugh,not assigned,
q256,am good at many things,i am good at many things,ingenuity,1.0
q257,am good at motivating myself to work hard,i am good at motivating myself to work hard,not assigned,
q258,am good at reading peoples intentions from their faces,i am good at reading peoples intentions from their faces,not assigned,
q259,am good at saving money,i am good at saving money,not assigned,
q260,am good at seducing others,i am good at seducing others,not assigned,
q261,am good at sensing what others are feeling,i am good at sensing what others are feeling,social/personal/emotional intelligence,1.0
q262,am good at setting goals for the future,i am good at setting goals for the future,not assigned,
q263,am good at taking advice,i am good at taking advice,flexibility,1.0
q264,am good at thinking of solutions that no one else thinks of,i am good at thinking of solutions that no one else thinks of,not assigned,
q265,am good at understanding others feelings,i am good at understanding others feelings,not assigned,
q266,am good at using peoples weak points to my advantage,i am good at using peoples weak points to my advantage,not assigned,
q267,am guided by my intuitions,i am guided by my intuitions,not assigned,
q268,am guided by my moods,i am guided by my moods,temperance,-1.0
q269,am guided by superstitions,i am guided by superstitions,not assigned,
q270,am happy doing mindless work,i am happy doing mindless work,not assigned,
q271,am happy with my life,i am happy with my life,not assigned,
q272,am hard to convince,i am hard to convince,flexibility,-1.0
q273,am hard to get to know,i am hard to get to know,extraversion,-1.0
q274,am hard to reason with,i am hard to reason with,flexibility,-1.0
q275,am hard to satisfy,i am hard to satisfy,pleasantness,-1.0
q276,am hard to understand,i am hard to understand,stability,-1.0
q277,am humble about the good things that have happened to me,i am humble about the good things that have happened to me,modesty/humility,1.0
q278,am in awe of simple things in life that others might take for granted,i am in awe of simple things in life that others might take for granted,aesthetic appreciation/artistic interests,1.0
q279,am in good physical condition,i am in good physical condition,not assigned,
q280,am inadequate,i am inadequate,not assigned,
q281,am inclined to forgive others,i am inclined to forgive others,agreeableness,1.0
q282,am indifferent to the feelings of others,i am indifferent to the feelings of others,callousness,1.0
q283,am inexplicably happy some of the time,i am inexplicably happy some of the time,romanticism,1.0
q284,am inflexible when i think i am right,i am inflexible when i think i am right,rigidity,1.0
q285,am intentionally different,i am intentionally different,not assigned,
q286,am interested in many things,i am interested in many things,intellectual-breadth,1.0
q287,am interested in money to the point of being able to do risky jobs,i am interested in money to the point of being able to do risky jobs,not assigned,
q288,am interested in my personal growth,i am interested in my personal growth,not assigned,
q289,am interested in people,i am interested in people,sociability,1.0
q290,am interested in science,i am interested in science,inquisitiveness,1.0
q291,am just an ordinary person,i am just an ordinary person,modesty/humility,1.0
q292,am known as a controlling person,i am known as a controlling person,dominance,1.0
q293,am known to be a very nervous or tense person,i am known to be a very nervous or tense person,not assigned,
q294,am less capable than most people,i am less capable than most people,self-esteem,-1.0
q295,am less likely than most people to lock things up,i am less likely than most people to lock things up,not assigned,
q296,am likely to show off if i get the chance,i am likely to show off if i get the chance,exhibitionism,1.0
q297,am looking for a job,i am looking for a job,not assigned,
q298,am looking forward to things that are coming in the future,i am looking forward to things that are coming in the future,not assigned,
q299,am mainly interested in money,i am mainly interested in money,greed avoidance,-1.0
q300,am more capable than most others,i am more capable than most others,modesty/humility,-1.0
q301,am more likely to be fast and careless than to be slow and plodding,i am more likely to be fast and careless than to be slow and plodding,not assigned,
q302,am more of a loner than most people,i am more of a loner than most people,not assigned,
q303,am motivated strongly to do some things by the good prospect of obtaining money,i am motivated strongly to do some things by the good prospect of obtaining money,not assigned,
q304,am moved to action by the possibility of social advancement even if this involves not playing fair,i am moved to action by the possibility of social advancement even if this involves not playing fair,not assigned,
q305,am nervous or tense most of the time,i am nervous or tense most of the time,anxiety,1.0
q306,am never at a loss for words,i am never at a loss for words,expressiveness,1.0
q307,am never bored,i am never bored,curiosity,1.0
q308,am never too busy to help a friend,i am never too busy to help a friend,kindness/generosity,1.0
q309,am nice to people i should be angry at,i am nice to people i should be angry at,forgiveness/mercy,1.0
q310,am nice to store clerks,i am nice to store clerks,trust,1.0
q311,am no danger to society,i am no danger to society,not assigned,
q312,am no more special than anyone else,i am no more special than anyone else,not assigned,
q313,am not a caring person,i am not a caring person,callousness,1.0
q314,am not a dependable person,i am not a dependable person,irresponsibility,1.0
q315,am not a detail-oriented person,i am not a detail-oriented person,not assigned,
q316,am not a joyful person,i am not a joyful person,anhedonia,1.0
q317,am not a sympathetic person,i am not a sympathetic person,callousness,1.0
q318,am not a very enthusiastic person,i am not a very enthusiastic person,vitality/enthusiasm/zest,-1.0
q319,am not affected by either praise or criticism,i am not affected by either praise or criticism,not assigned,
q320,am not afraid of providing criticism,i am not afraid of providing criticism,assertiveness,1.0
q321,am not all that curious about the world,i am not all that curious about the world,curiosity,-1.0
q322,am not always honest with myself,i am not always honest with myself,self-deception,-1.0
q323,am not always what i appear to be,i am not always what i appear to be,impression-management,-1.0
q324,am not an empathic person,i am not an empathic person,not assigned,
q325,am not an extraordinary person,i am not an extraordinary person,ambition/drive,-1.0
q326,am not as strict as i should be,i am not as strict as i should be,rationality,-1.0
q327,am not as tactful as i should be,i am not as tactful as i should be,not assigned,
q328,am not bothered by crazy thoughts,i am not bothered by crazy thoughts,not assigned,
q329,am not bothered by difficult social situations,i am not bothered by difficult social situations,self-consciousness,-1.0
q330,am not bothered by disorder,i am not bothered by disorder,disorderliness,1.0
q331,am not bothered by messy people,i am not bothered by messy people,need for order and cleanliness,-1.0
q332,am not concerned with making a good impression,i am not concerned with making a good impression,conformity/dependence/need for approval,-1.0
q333,am not confident that my way of doing things will work out for the best,i am not confident that my way of doing things will work out for the best,hope/optimism,-1.0
q334,am not considered attractive by others,i am not considered attractive by others,not assigned,
q335,am not considered to have new and different ideas,i am not considered to have new and different ideas,creativity/originality,-1.0
q336,am not disturbed by events,i am not disturbed by events,agreeableness,1.0
q337,am not easily affected by my emotions,i am not easily affected by my emotions,emotionality,-1.0
q338,am not easily amused,i am not easily amused,depth,-1.0
q339,am not easily annoyed,i am not easily annoyed,anger,-1.0
q340,am not easily bothered by things,i am not easily bothered by things,emotional stability,1.0
q341,am not easily distracted,i am not easily distracted,purposefulness,1.0
q342,am not easily disturbed by events,i am not easily disturbed by events,anxiety,-1.0
q343,am not easily fooled by others,i am not easily fooled by others,not assigned,
q344,am not easily frustrated,i am not easily frustrated,emotional stability,1.0
q345,am not easily made to feel jealous,i am not easily made to feel jealous,not assigned,
q346,am not easily stirred,i am not easily stirred,tranquility,1.0
q347,am not embarrassed easily,i am not embarrassed easily,forcefulness,1.0
q348,am not fun to be with,i am not fun to be with,humor/playfulness,-1.0
q349,am not good at deceiving other people,i am not good at deceiving other people,not assigned,
q350,am not good at describing the emotions i feel throughout the day,i am not good at describing the emotions i feel throughout the day,emotional detachment,1.0
q351,am not good at figuring out what really matters,i am not good at figuring out what really matters,wisdom/perspective,-1.0
q352,am not good at getting people to like me,i am not good at getting people to like me,extraversion,-1.0
q353,am not good at hiding my intentions from others,i am not good at hiding my intentions from others,not assigned,
q354,am not good at judging people,i am not good at judging people,not assigned,
q355,am not good at knowing human nature,i am not good at knowing human nature,not assigned,
q356,am not good at planning group activities,i am not good at planning group activities,leadership,-1.0
q357,am not good at sports,i am not good at sports,not assigned,
q358,am not good at taking charge of a group,i am not good at taking charge of a group,leadership,-1.0
q359,am not good at telling jokes,i am not good at telling jokes,exhibitionism,-1.0
q360,am not good at working with a group,i am not good at working with a group,teamwork/citizenship,-1.0
q361,am not handicapped in any way,i am not handicapped in any way,not assigned,
q362,am not happy until all the details are taken care of,i am not happy until all the details are taken care of,perfectionism,1.0
q363,am not highly motivated to succeed,i am not highly motivated to succeed,leadership,-1.0
q364,am not in the mood for anything,i am not in the mood for anything,satisfaction,-1.0
q365,am not in touch with my feelings,i am not in touch with my feelings,attention to emotions,-1.0
q366,am not interested in abstract ideas,i am not interested in abstract ideas,imagination,-1.0
q367,am not interested in other peoples problems,i am not interested in other peoples problems,agreeableness,-1.0
q368,am not interested in romance,i am not interested in romance,not assigned,
q369,am not interested in speculating about things,i am not interested in speculating about things,complexity,-1.0
q370,am not interested in theoretical discussions,i am not interested in theoretical discussions,creativity/originality,-1.0
q371,am not known for my sense of humor,i am not known for my sense of humor,humor/playfulness,-1.0
q372,am not likely to notice small visual details,i am not likely to notice small visual details,not assigned,
q373,am not much of a flirt,i am not much of a flirt,not assigned,
q374,am not picky about food,i am not picky about food,not assigned,
q375,am not really interested in others,i am not really interested in others,agreeableness,-1.0
q376,am not sure where my life is going,i am not sure where my life is going,hope/optimism,-1.0
q377,am not very good at getting things done,i am not very good at getting things done,self-control/self-regulation,-1.0
q378,am not willing to let things rest,i am not willing to let things rest,not assigned,
q379,am odd,i am odd,peculiarity,1.0
q380,am often accused of being narrow-minded,i am often accused of being narrow-minded,rigidity,1.0
q381,am often afraid,i am often afraid,not assigned,
q382,am often afraid of new or unexpected situations,i am often afraid of new or unexpected situations,not assigned,
q383,am often asked by friends and family to help resolve fights,i am often asked by friends and family to help resolve fights,not assigned,
q384,am often aware how the color and lighting of a room affects my mood,i am often aware how the color and lighting of a room affects my mood,not assigned,
q385,am often being lied to,i am often being lied to,not assigned,
q386,am often bored,i am often bored,not assigned,
q387,am often bored while working,i am often bored while working,not assigned,
q388,am often consulted by my friends about their problems,i am often consulted by my friends about their problems,not assigned,
q389,am often disappointed by people,i am often disappointed by people,not assigned,
q390,am often down in the dumps,i am often down in the dumps,neuroticism,1.0
q391,am often exploited by others,i am often exploited by others,not assigned,
q392,am often fidgety,i am often fidgety,adhd,1.0
q393,am often in a bad mood,i am often in a bad mood,pleasantness,-1.0
q394,am often just used by people instead of being treated as a person,i am often just used by people instead of being treated as a person,not assigned,
q395,am often late,i am often late,not assigned,
q396,am often late to work,i am often late to work,conscientiousness,-1.0
q397,am often mistaken for being younger than my age,i am often mistaken for being younger than my age,not assigned,
q398,am often out for revenge,i am often out for revenge,hostile aggression,1.0
q399,am often puzzled by sensations in my body,i am often puzzled by sensations in my body,not assigned,
q400,am often rushed,i am often rushed,not assigned,
q401,am often sensitive to the smoothness or roughness of objects that i touch,i am often sensitive to the smoothness or roughness of objects that i touch,not assigned,
q402,am often so assertive or sociable that i surprise myself,i am often so assertive or sociable that i surprise myself,hypomanic exhibitionism,1.0
q403,am often so restless that it is impossible for me to sit still,i am often so restless that it is impossible for me to sit still,hypomanic mood intensity,1.0
q404,am often the last to understand the point of a joke,i am often the last to understand the point of a joke,not assigned,
q405,am often told by others that i understand them,i am often told by others that i understand them,not assigned,
q406,am often too truthful about others flaws,i am often too truthful about others flaws,not assigned,
q407,am often worried by things that i said or did,i am often worried by things that i said or did,not assigned,
q408,am on good terms with nearly everyone,i am on good terms with nearly everyone,forgiveness/mercy,1.0
q409,am one of the most curious and inquiring persons i know,i am one of the most curious and inquiring persons i know,not assigned,
q410,am only kind to others if they have been kind to me,i am only kind to others if they have been kind to me,kindness/generosity,-1.0
q411,am open about my feelings,i am open about my feelings,self-disclosure,1.0
q412,am open about myself to others,i am open about myself to others,reserve,-1.0
q413,am open to arguments,i am open to arguments,not assigned,
q414,am open to change,i am open to change,variety-seeking,1.0
q415,am open to ideas,i am open to ideas,not assigned,
q416,am open to new experiences,i am open to new experiences,risk-taking/sensation-seeking/thrill-seeking,1.0
q417,am out for my own personal gain,i am out for my own personal gain,positive expressivity,-1.0
q418,am paralyzed by a fear of being alone,i am paralyzed by a fear of being alone,not assigned,
q419,am paralyzed by a fear of rejection,i am paralyzed by a fear of rejection,relationship insecurity,1.0
q420,am passionate about anything i am involved in,i am passionate about anything i am involved in,romanticism,1.0
