,Dataset,Model,Correlation,p-value,L1 Loss
47,BIG5,Best Model,0.483123,0.0,0.74
48,BIG5,Best Model,0.661521,0.0,0.87
49,BIG5,Best Model,0.456969,2e-06,0.83
50,BIG5,Best Model,0.365166,0.000187,0.86
51,BIG5,Best Model,0.477954,0.0,1.08
52,BIG5,Best Model,0.385198,7.6e-05,1.17
53,BIG5,Best Model,0.533033,0.0,1.04
54,BIG5,Best Model,0.380627,9.4e-05,0.89
55,BIG5,Best Model,0.437353,5e-06,0.87
56,BIG5,Best Model,0.279094,0.004924,0.87
57,BIG5,Best Model,0.563105,0.0,0.78
58,BIG5,Best Model,0.191337,0.056525,1.35
59,BIG5,Best Model,0.473589,1e-06,1.22
60,BIG5,Best Model,0.615477,0.0,1.02
61,BIG5,Best Model,0.512538,0.0,0.96
62,BIG5,Best Model,0.354602,0.000295,0.8
63,BIG5,Best Model,0.422781,1.2e-05,0.8
64,BIG5,Best Model,0.685944,0.0,0.87
65,BIG5,Best Model,0.316142,0.001354,0.8
66,BIG5,Best Model,0.726201,0.0,0.82
67,BIG5,Best Model,0.606117,0.0,0.8
68,BIG5,Best Model,0.401667,3.4e-05,0.8
69,BIG5,Best Model,0.494093,0.0,0.99
70,BIG5,Best Model,0.665662,0.0,0.75
71,BIG5,Best Model,0.63104,0.0,0.74
72,BIG5,Best Model,0.232896,0.019709,0.83
73,BIG5,Best Model,0.71939,0.0,0.95
74,BIG5,Best Model,0.626214,0.0,0.85
75,BIG5,Best Model,0.478681,0.0,1.01
76,BIG5,Best Model,0.468225,1e-06,0.68
77,BIG5,Best Model,0.431337,7e-06,1.15
78,BIG5,Best Model,0.465885,1e-06,0.97
79,BIG5,Best Model,0.440418,5e-06,0.7
80,BIG5,Best Model,0.619148,0.0,0.65
81,BIG5,Best Model,0.341041,0.000516,0.84
82,BIG5,Best Model,0.45672,2e-06,0.67
83,BIG5,Best Model,0.403026,3.2e-05,1.3
84,BIG5,Best Model,0.458061,2e-06,0.93
85,BIG5,Best Model,0.644514,0.0,0.68
86,BIG5,Best Model,0.253937,0.010792,1.03
87,BIG5,Best Model,0.454104,2e-06,0.82
88,BIG5,Best Model,0.242001,0.015276,1.03
89,BIG5,Best Model,0.505964,0.0,0.79
90,BIG5,Best Model,0.259768,0.009054,0.92
91,BIG5,Best Model,0.337074,0.000605,0.55
92,BIG5,Best Model,0.491181,0.0,0.96
93,BIG5,Best Model,0.364682,0.000191,1.18
94,BIG5,Best Model,0.459298,2e-06,1.22
95,BIG5,Best Model,0.608201,0.0,0.77
96,BIG5,Best Model,0.40803,2.5e-05,0.83
97,BIG5,Best Model,0.644875,0.0,0.78
98,BIG5,Best Model,0.570118,0.0,1.03
99,BIG5,Best Model,0.45734,2e-06,1.09
100,BIG5,Best Model,0.454776,2e-06,0.67
101,BIG5,Best Model,0.728716,0.0,0.82
102,BIG5,Best Model,0.394691,4.8e-05,0.93
103,BIG5,Best Model,0.526419,0.0,1.26
104,BIG5,Best Model,0.522408,0.0,1.04
105,BIG5,Best Model,0.690209,0.0,0.7
106,BIG5,Best Model,0.379036,0.000101,0.81
107,BIG5,Best Model,0.421436,1.3e-05,0.88
108,BIG5,Best Model,0.498703,0.0,0.87
109,BIG5,Best Model,0.611562,0.0,0.83
110,BIG5,Best Model,0.485503,0.0,0.8
111,BIG5,Best Model,0.426283,1e-05,0.77
112,BIG5,Best Model,0.199786,0.046275,1.18
113,BIG5,Best Model,0.588808,0.0,0.91
114,BIG5,Best Model,0.549353,0.0,0.49
115,BIG5,Best Model,0.576201,0.0,0.85
116,BIG5,Best Model,0.426872,9e-06,0.85
117,BIG5,Best Model,0.258231,0.009487,1.14
118,BIG5,Best Model,0.564862,0.0,0.8
119,BIG5,Best Model,0.559534,0.0,0.81
120,BIG5,Best Model,0.435409,6e-06,1.27
121,BIG5,Best Model,0.400736,3.6e-05,1.04
122,BIG5,Best Model,0.411857,2.1e-05,0.84
123,BIG5,Best Model,0.556548,0.0,0.73
124,BIG5,Best Model,0.461242,1e-06,0.99
125,BIG5,Best Model,0.292587,0.003137,1.14
126,BIG5,Best Model,0.465498,1e-06,1.01
127,BIG5,Best Model,0.634581,0.0,0.76
128,BIG5,Best Model,0.360238,0.000232,1.16
129,BIG5,Best Model,0.62252,0.0,0.76
130,BIG5,Best Model,0.252566,0.01124,0.92
131,BIG5,Best Model,0.274698,0.005677,0.76
132,BIG5,Best Model,0.710819,0.0,0.9
133,BIG5,Best Model,0.574895,0.0,0.97
134,BIG5,Best Model,0.294386,0.002949,0.92
135,BIG5,Best Model,0.692143,0.0,0.78
136,BIG5,Best Model,0.61747,0.0,0.59
137,BIG5,Best Model,0.562713,0.0,0.8
138,BIG5,Best Model,0.561999,0.0,0.97
139,BIG5,Best Model,0.365433,0.000185,0.82
140,BIG5,Best Model,0.436767,6e-06,0.72
141,BIG5,Best Model,0.628622,0.0,0.87
142,BIG5,Best Model,0.481934,0.0,0.82
143,BIG5,Best Model,0.195723,0.050992,0.9
144,BIG5,Best Model,0.482242,0.0,1.1
145,BIG5,Best Model,0.216302,0.030658,1.31
146,BIG5,Best Model,0.494979,0.0,0.85
147,BIG5,Best Model,0.457473,2e-06,0.86
148,BIG5,Best Model,0.397086,4.3e-05,1.01
149,BIG5,Best Model,0.498828,0.0,1.04
150,BIG5,Best Model,0.111625,0.268865,1.07
151,BIG5,Best Model,0.536632,0.0,0.93
152,BIG5,Best Model,0.264695,0.007784,1.11
153,BIG5,Best Model,0.289617,0.00347,1.07
154,BIG5,Best Model,0.337768,0.000589,1.18
155,BIG5,Best Model,0.257654,0.009653,0.92
156,BIG5,Best Model,0.555416,0.0,0.77
157,BIG5,Best Model,0.587486,0.0,1.0
158,BIG5,Best Model,0.435119,6e-06,1.08
159,BIG5,Best Model,0.409886,2.3e-05,0.89
160,BIG5,Best Model,0.412095,2e-05,0.77
161,BIG5,Best Model,0.337934,0.000585,1.11
162,BIG5,Best Model,0.579008,0.0,0.97
163,BIG5,Best Model,0.396406,4.4e-05,1.04
164,BIG5,Best Model,0.367879,0.000166,1.0
165,BIG5,Best Model,0.130873,0.194334,1.14
166,BIG5,Best Model,0.593455,0.0,0.77
167,BIG5,Best Model,0.538111,0.0,1.08
168,BIG5,Best Model,0.484304,0.0,0.99
169,BIG5,Best Model,0.234212,0.019007,1.11
170,BIG5,Best Model,0.641212,0.0,0.83
171,BIG5,Best Model,0.533529,0.0,0.67
172,BIG5,Best Model,0.706838,0.0,0.74
173,BIG5,Best Model,0.411327,2.1e-05,1.15
174,BIG5,Best Model,0.518783,0.0,0.87
175,BIG5,Best Model,0.62145,0.0,0.86
176,BIG5,Best Model,0.512937,0.0,0.85
177,BIG5,Best Model,0.605088,0.0,0.88
178,BIG5,Best Model,0.449524,3e-06,1.1
179,BIG5,Best Model,0.457835,2e-06,0.91
180,BIG5,Best Model,0.246097,0.013583,0.76
181,BIG5,Best Model,0.429768,8e-06,0.72
182,BIG5,Best Model,0.580188,0.0,0.81
183,BIG5,Best Model,0.620196,0.0,0.82
184,BIG5,Best Model,0.336881,0.00061,0.86
185,BIG5,Best Model,0.720868,0.0,0.77
186,BIG5,Best Model,0.523092,0.0,0.9
187,BIG5,Best Model,0.574336,0.0,0.94
188,BIG5,Best Model,0.61774,0.0,0.81
189,BIG5,Best Model,0.288221,0.003638,1.02
190,BIG5,Best Model,0.51658,0.0,0.77
191,BIG5,Best Model,0.429801,8e-06,0.61
192,BIG5,Best Model,0.555441,0.0,0.84
193,BIG5,Best Model,0.388749,6.4e-05,0.9
194,BIG5,Best Model,0.121544,0.228346,1.13
195,BIG5,Best Model,0.654279,0.0,0.94
196,BIG5,Best Model,0.433659,7e-06,1.22
197,BIG5,Best Model,0.497599,0.0,0.75
198,BIG5,Best Model,0.58531,0.0,0.93
199,BIG5,Best Model,0.378731,0.000102,0.95
200,BIG5,Best Model,0.285503,0.003985,0.61
201,BIG5,Best Model,0.544592,0.0,1.11
202,BIG5,Best Model,0.579878,0.0,1.09
203,BIG5,Best Model,0.204632,0.041126,1.09
204,BIG5,Best Model,0.55396,0.0,0.75
205,BIG5,Best Model,0.684734,0.0,0.71
206,BIG5,Best Model,0.228535,0.022197,1.25
207,BIG5,Best Model,0.40643,2.7e-05,0.88
208,BIG5,Best Model,0.647933,0.0,0.7
209,BIG5,Best Model,0.437956,5e-06,0.64
210,BIG5,Best Model,0.548315,0.0,0.8
211,BIG5,Best Model,0.266421,0.007377,1.05
212,BIG5,Best Model,0.534011,0.0,1.17
213,BIG5,Best Model,0.425277,1e-05,1.02
214,BIG5,Best Model,0.38355,8.2e-05,0.68
215,BIG5,Best Model,0.261882,0.008488,0.94
216,BIG5,Best Model,0.270173,0.006558,0.86
217,BIG5,Best Model,0.550287,0.0,0.65
218,BIG5,Best Model,0.460394,1e-06,0.91
219,BIG5,Best Model,0.384206,7.9e-05,1.17
220,BIG5,Best Model,0.345322,0.000434,0.99
221,BIG5,Best Model,0.384517,7.8e-05,0.78
222,BIG5,Best Model,0.456067,2e-06,1.06
223,BIG5,Best Model,0.601021,0.0,0.75
224,BIG5,Best Model,0.451622,2e-06,0.83
225,BIG5,Best Model,0.507229,0.0,1.15
226,BIG5,Best Model,0.503056,0.0,0.85
227,BIG5,Best Model,0.43059,8e-06,0.77
228,BIG5,Best Model,0.488924,0.0,0.85
229,BIG5,Best Model,0.388027,6.6e-05,0.99
230,BIG5,Best Model,0.2842,0.004162,0.95
231,BIG5,Best Model,0.682114,0.0,0.82
232,BIG5,Best Model,0.378419,0.000104,0.98
233,BIG5,Best Model,0.641319,0.0,1.01
234,BIG5,Best Model,0.131105,0.193538,0.89
235,BIG5,Best Model,0.493428,0.0,1.06
236,BIG5,Best Model,0.324324,0.000995,0.95
237,BIG5,Best Model,0.420377,1.3e-05,0.88
238,BIG5,Best Model,0.569989,0.0,0.93
239,BIG5,Best Model,0.490608,0.0,0.85
240,BIG5,Best Model,0.581627,0.0,0.7
241,BIG5,Best Model,0.554587,0.0,0.96
242,BIG5,Best Model,0.577727,0.0,0.66
243,BIG5,Best Model,0.656253,0.0,0.72
244,BIG5,Best Model,0.606583,0.0,0.89
245,BIG5,Best Model,0.220335,0.027609,1.35
246,BIG5,Best Model,0.353198,0.000313,0.93
247,BIG5,Best Model,0.377396,0.000109,0.73
248,BIG5,Best Model,0.32219,0.001079,1.03
249,BIG5,Best Model,0.487757,0.0,0.88
250,BIG5,Best Model,0.485444,0.0,0.82
251,BIG5,Best Model,0.518966,0.0,0.71
252,BIG5,Best Model,0.295923,0.002796,0.89
253,BIG5,Best Model,0.345719,0.000427,0.93
254,BIG5,Best Model,0.287633,0.003711,0.98
255,BIG5,Best Model,0.521865,0.0,0.94
256,BIG5,Best Model,0.5243,0.0,0.86
257,BIG5,Best Model,0.551353,0.0,0.74
258,BIG5,Best Model,0.397337,4.3e-05,0.95
259,BIG5,Best Model,0.616427,0.0,0.72
260,BIG5,Best Model,0.456962,2e-06,0.68
261,BIG5,Best Model,0.738887,0.0,0.68
262,BIG5,Best Model,0.145879,0.147558,1.0
263,BIG5,Best Model,0.399859,3.8e-05,0.83
264,BIG5,Best Model,0.306599,0.001919,1.01
265,BIG5,Best Model,0.657798,0.0,0.76
266,BIG5,Best Model,0.412695,2e-05,0.95
267,BIG5,Best Model,0.462982,1e-06,1.06
268,BIG5,Best Model,0.357528,0.00026,0.99
269,BIG5,Best Model,0.364718,0.000191,0.99
270,BIG5,Best Model,0.401173,3.5e-05,0.83
271,BIG5,Best Model,0.483483,0.0,0.76
272,BIG5,Best Model,0.378353,0.000104,0.76
273,BIG5,Best Model,0.587302,0.0,0.97
274,BIG5,Best Model,0.402381,3.3e-05,0.95
275,BIG5,Best Model,0.596481,0.0,1.01
276,BIG5,Best Model,0.675725,0.0,0.97
277,BIG5,Best Model,0.546946,0.0,0.82
278,BIG5,Best Model,0.729081,0.0,0.91
279,BIG5,Best Model,0.2755,0.005533,0.92
280,BIG5,Best Model,0.186145,0.063698,0.75
281,BIG5,Best Model,0.246262,0.013518,1.06
282,BIG5,Best Model,0.295648,0.002823,1.06
283,BIG5,Best Model,0.624526,0.0,0.7
284,BIG5,Best Model,0.327814,0.00087,0.69
285,BIG5,Best Model,0.52086,0.0,0.78
286,BIG5,Best Model,0.477212,1e-06,0.73
287,BIG5,Best Model,0.176086,0.079697,0.92
288,BIG5,Best Model,0.330221,0.000793,0.71
289,BIG5,Best Model,0.64316,0.0,0.83
290,BIG5,Best Model,0.550004,0.0,1.04
291,BIG5,Best Model,0.683529,0.0,0.88
292,BIG5,Best Model,0.569864,0.0,0.9
293,BIG5,Best Model,0.556427,0.0,0.84
294,BIG5,Best Model,0.614837,0.0,0.86
295,BIG5,Best Model,0.566971,0.0,0.81
296,BIG5,Best Model,0.652429,0.0,0.97
297,BIG5,Best Model,0.423294,1.1e-05,0.84
298,BIG5,Best Model,0.250435,0.011969,0.94
299,BIG5,Best Model,0.40613,2.8e-05,0.79
300,BIG5,Best Model,0.414338,1.8e-05,0.98
301,BIG5,Best Model,0.321138,0.001123,0.54
302,BIG5,Best Model,0.538425,0.0,0.83
303,BIG5,Best Model,0.141565,0.160039,0.88
304,BIG5,Best Model,0.39814,4.1e-05,1.13
305,BIG5,Best Model,0.520294,0.0,0.95
306,BIG5,Best Model,0.262686,0.008281,0.87
307,BIG5,Best Model,0.213177,0.033212,1.07
308,BIG5,Best Model,0.536891,0.0,0.9
309,BIG5,Best Model,0.577668,0.0,0.7
310,BIG5,Best Model,0.642433,0.0,0.95
311,BIG5,Best Model,0.716665,0.0,0.72
312,BIG5,Best Model,0.524059,0.0,0.97
313,BIG5,Best Model,0.346511,0.000413,1.04
314,BIG5,Best Model,0.499122,0.0,0.9
315,BIG5,Best Model,0.451122,2e-06,0.54
316,BIG5,Best Model,0.636322,0.0,0.81
317,BIG5,Best Model,0.51495,0.0,0.73
318,BIG5,Best Model,0.328807,0.000837,0.78
319,BIG5,Best Model,0.463329,1e-06,1.02
320,BIG5,Best Model,0.415957,1.7e-05,1.11
321,BIG5,Best Model,0.419264,1.4e-05,0.85
322,BIG5,Best Model,0.591116,0.0,0.67
323,BIG5,Best Model,0.4645,1e-06,1.07
324,BIG5,Best Model,0.622356,0.0,0.8
325,BIG5,Best Model,0.379032,0.000101,1.18
326,BIG5,Best Model,0.342331,0.00049,1.08
327,BIG5,Best Model,0.3758,0.000117,0.99
328,BIG5,Best Model,0.55688,0.0,0.97
329,BIG5,Best Model,0.301188,0.002326,0.87
330,BIG5,Best Model,0.749367,0.0,0.79
331,BIG5,Best Model,0.735417,0.0,0.92
332,BIG5,Best Model,0.616666,0.0,1.03
333,BIG5,Best Model,0.288889,0.003557,1.06
334,BIG5,Best Model,0.694641,0.0,1.0
335,BIG5,Best Model,0.325323,0.000958,1.02
336,BIG5,Best Model,0.302649,0.002209,0.7
337,BIG5,Best Model,0.615628,0.0,0.61
338,BIG5,Best Model,0.397009,4.3e-05,0.81
339,BIG5,Best Model,0.187403,0.061895,1.09
340,BIG5,Best Model,0.606665,0.0,0.84
341,BIG5,Best Model,0.536821,0.0,0.89
342,BIG5,Best Model,0.689405,0.0,0.88
343,BIG5,Best Model,0.419552,1.4e-05,0.78
344,BIG5,Best Model,0.259677,0.00908,0.79
345,BIG5,Best Model,0.437564,5e-06,0.95
346,BIG5,Best Model,0.6376,0.0,0.75
347,BIG5,Best Model,0.13689,0.174434,1.08
348,BIG5,Best Model,0.557888,0.0,0.91
349,BIG5,Best Model,0.590462,0.0,0.78
350,BIG5,Best Model,0.186129,0.063721,0.83
351,BIG5,Best Model,0.466883,1e-06,0.87
352,BIG5,Best Model,0.368278,0.000163,0.94
353,BIG5,Best Model,0.61364,0.0,1.09
354,BIG5,Best Model,0.505009,0.0,1.04
355,BIG5,Best Model,0.265609,0.007566,0.97
356,BIG5,Best Model,0.402841,3.2e-05,0.74
357,BIG5,Best Model,0.390984,5.8e-05,0.99
358,BIG5,Best Model,0.480113,0.0,0.73
359,BIG5,Best Model,0.388201,6.6e-05,1.09
360,BIG5,Best Model,0.494646,0.0,0.95
361,BIG5,Best Model,0.482199,0.0,0.76
362,BIG5,Best Model,0.208618,0.037258,1.05
363,BIG5,Best Model,0.406912,2.7e-05,1.05
364,BIG5,Best Model,0.663201,0.0,0.78
365,BIG5,Best Model,0.522094,0.0,0.98
366,BIG5,Best Model,0.330496,0.000784,1.05
367,BIG5,Best Model,-0.072178,0.475453,0.92
368,BIG5,Best Model,0.268273,0.006962,1.02
369,BIG5,Best Model,0.640422,0.0,0.92
370,BIG5,Best Model,0.319919,0.001176,1.21
371,BIG5,Best Model,0.415323,1.7e-05,1.06
372,BIG5,Best Model,0.487097,0.0,0.95
373,BIG5,Best Model,0.438099,5e-06,1.16
374,BIG5,Best Model,0.104601,0.300341,1.09
375,BIG5,Best Model,0.033459,0.741039,1.08
376,BIG5,Best Model,0.399482,3.8e-05,0.95
377,BIG5,Best Model,0.57027,0.0,0.94
378,BIG5,Best Model,0.635056,0.0,0.95
379,BIG5,Best Model,0.370991,0.000145,0.91
380,BIG5,Best Model,-0.059806,0.554473,1.2
381,BIG5,Best Model,0.609864,0.0,0.78
382,BIG5,Best Model,0.381474,9e-05,0.91
383,BIG5,Best Model,0.646873,0.0,0.92
384,BIG5,Best Model,0.241498,0.015497,0.99
385,BIG5,Best Model,0.513685,0.0,0.73
386,BIG5,Best Model,0.44367,4e-06,1.01
387,BIG5,Best Model,0.487434,0.0,0.91
388,BIG5,Best Model,0.510262,0.0,0.81
389,BIG5,Best Model,0.266577,0.007341,0.89
390,BIG5,Best Model,0.526863,0.0,0.85
391,BIG5,Best Model,0.675586,0.0,0.79
392,BIG5,Best Model,0.408935,2.4e-05,1.32
393,BIG5,Best Model,0.252382,0.011301,1.17
394,BIG5,Best Model,0.13588,0.177666,0.95
395,BIG5,Best Model,0.436529,6e-06,0.9
396,BIG5,Best Model,0.680942,0.0,0.76
397,BIG5,Best Model,0.325975,0.000934,1.02
398,BIG5,Best Model,0.528058,0.0,0.78
399,BIG5,Best Model,0.428406,9e-06,1.03
400,BIG5,Best Model,0.487208,0.0,0.97
401,BIG5,Best Model,0.288768,0.003571,1.18
402,BIG5,Best Model,0.456023,2e-06,0.98
403,BIG5,Best Model,0.453848,2e-06,0.88
404,BIG5,Best Model,0.309708,0.001715,0.98
405,BIG5,Best Model,0.507956,0.0,0.61
406,BIG5,Best Model,0.41647,1.6e-05,0.96
407,BIG5,Best Model,0.578272,0.0,0.86
408,BIG5,Best Model,0.488518,0.0,1.14
409,BIG5,Best Model,0.398746,4e-05,1.12
410,BIG5,Best Model,0.556684,0.0,0.77
411,BIG5,Best Model,0.566308,0.0,0.55
412,BIG5,Best Model,0.253743,0.010854,0.98
413,BIG5,Best Model,0.370315,0.000149,0.92
414,BIG5,Best Model,0.639544,0.0,0.71
415,BIG5,Best Model,0.477274,1e-06,0.94
416,BIG5,Best Model,0.339608,0.000547,0.77
417,BIG5,Best Model,0.5337,0.0,0.72
418,BIG5,Best Model,0.563293,0.0,0.68
419,BIG5,Best Model,0.438382,5e-06,0.73
420,BIG5,Best Model,0.38431,7.9e-05,0.99
421,BIG5,Best Model,0.472244,1e-06,0.81
422,BIG5,Best Model,0.397719,4.2e-05,0.88
423,BIG5,Best Model,0.540808,0.0,0.78
424,BIG5,Best Model,0.307406,0.001864,0.82
425,BIG5,Best Model,0.538201,0.0,0.93
426,BIG5,Best Model,0.511852,0.0,0.86
427,BIG5,Best Model,0.499794,0.0,1.04
428,BIG5,Best Model,0.397978,4.1e-05,0.9
429,BIG5,Best Model,0.522682,0.0,0.96
430,BIG5,Best Model,0.194613,0.052349,0.96
431,BIG5,Best Model,0.120761,0.231378,0.88
432,BIG5,Best Model,0.4279,9e-06,0.83
433,BIG5,Best Model,0.182846,0.068629,1.0
434,BIG5,Best Model,0.599459,0.0,0.82
435,BIG5,Best Model,0.57563,0.0,0.67
436,BIG5,Best Model,0.514301,0.0,1.01
437,BIG5,Best Model,0.639259,0.0,0.8
438,BIG5,Best Model,0.739838,0.0,0.59
439,BIG5,Best Model,0.43641,6e-06,1.0
440,BIG5,Best Model,0.245302,0.013898,1.08
441,BIG5,Best Model,0.451423,2e-06,0.78
442,BIG5,Best Model,0.610454,0.0,0.88
443,BIG5,Best Model,0.391491,5.6e-05,1.0
444,BIG5,Best Model,0.338869,0.000563,0.52
445,BIG5,Best Model,0.510355,0.0,0.94
446,BIG5,Best Model,0.584988,0.0,0.6
447,BIG5,Best Model,0.391694,5.6e-05,0.96
448,BIG5,Best Model,0.196786,0.049722,1.1
449,BIG5,Best Model,0.652968,0.0,0.73
450,BIG5,Best Model,0.739102,0.0,0.75
451,BIG5,Best Model,0.527744,0.0,0.87
452,BIG5,Best Model,0.52826,0.0,0.86
453,BIG5,Best Model,0.547903,0.0,0.69
454,BIG5,Best Model,0.623218,0.0,0.97
455,BIG5,Best Model,0.316413,0.00134,1.18
456,BIG5,Best Model,0.16606,0.098697,0.87
457,BIG5,Best Model,0.514856,0.0,0.58
458,BIG5,Best Model,0.421366,1.3e-05,0.96
459,BIG5,Best Model,0.740129,0.0,0.85
460,BIG5,Best Model,0.434701,6e-06,1.2
461,BIG5,Best Model,0.431267,7e-06,0.87
462,BIG5,Best Model,0.566526,0.0,1.0
463,BIG5,Best Model,0.312947,0.001524,0.72
464,BIG5,Best Model,0.323389,0.001031,0.94
465,BIG5,Best Model,0.339659,0.000546,0.95
466,BIG5,Best Model,0.580764,0.0,0.76
467,BIG5,Best Model,0.648713,0.0,0.78
468,BIG5,Best Model,0.469915,1e-06,0.95
469,BIG5,Best Model,0.187237,0.06213,0.81
470,BIG5,Best Model,0.229351,0.021712,1.28
471,BIG5,Best Model,0.296001,0.002789,0.86
472,BIG5,Best Model,0.406903,2.7e-05,0.57
473,BIG5,Best Model,0.453032,2e-06,0.88
474,BIG5,Best Model,0.21571,0.031129,0.88
475,BIG5,Best Model,0.30492,0.002038,0.64
476,BIG5,Best Model,0.520312,0.0,0.81
477,BIG5,Best Model,0.492516,0.0,0.84
478,BIG5,Best Model,0.506765,0.0,0.76
479,BIG5,Best Model,0.430204,8e-06,0.74
480,BIG5,Best Model,0.301871,0.002271,1.23
481,BIG5,Best Model,0.608537,0.0,0.91
482,BIG5,Best Model,0.370863,0.000146,0.81
483,BIG5,Best Model,0.481615,0.0,1.25
484,BIG5,Best Model,0.381048,9.2e-05,0.8
485,BIG5,Best Model,0.466101,1e-06,0.96
486,BIG5,Best Model,0.321503,0.001108,0.9
487,BIG5,Best Model,0.237318,0.017435,0.79
488,BIG5,Best Model,0.392008,5.5e-05,1.04
489,BIG5,Best Model,0.563968,0.0,0.77
490,BIG5,Best Model,0.589087,0.0,0.95
491,BIG5,Best Model,0.350167,0.000355,1.21
492,BIG5,Best Model,0.657125,0.0,0.85
493,BIG5,Best Model,0.526923,0.0,0.9
494,BIG5,Best Model,-0.076882,0.447089,1.11
495,BIG5,Best Model,0.336009,0.000631,1.07
496,BIG5,Best Model,0.461274,1e-06,0.78
497,BIG5,Best Model,0.197501,0.048881,0.98
498,BIG5,Best Model,0.493197,0.0,0.71
499,BIG5,Best Model,0.426209,1e-05,0.91
500,BIG5,Best Model,0.587277,0.0,0.83
501,BIG5,Best Model,0.61172,0.0,0.91
502,BIG5,Best Model,0.43538,6e-06,0.87
503,BIG5,Best Model,0.462521,1e-06,0.81
504,BIG5,Best Model,0.609871,0.0,0.92
505,BIG5,Best Model,0.483457,0.0,0.79
506,BIG5,Best Model,0.361278,0.000222,0.82
507,BIG5,Best Model,0.424591,1.1e-05,1.02
508,BIG5,Best Model,0.425061,1e-05,0.86
509,BIG5,Best Model,0.466356,1e-06,0.74
510,BIG5,Best Model,0.426428,1e-05,1.06
511,BIG5,Best Model,0.463418,1e-06,1.09
512,BIG5,Best Model,0.382395,8.6e-05,1.24
513,BIG5,Best Model,0.280931,0.004637,1.13
514,BIG5,Best Model,0.518198,0.0,1.11
515,BIG5,Best Model,0.653477,0.0,0.98
516,BIG5,Best Model,0.340216,0.000534,0.91
517,BIG5,Best Model,0.627313,0.0,0.72
518,BIG5,Best Model,0.65498,0.0,0.81
519,BIG5,Best Model,0.529146,0.0,0.85
520,BIG5,Best Model,0.569459,0.0,0.86
521,BIG5,Best Model,0.432701,7e-06,0.92
522,BIG5,Best Model,0.495123,0.0,0.83
523,BIG5,Best Model,0.482096,0.0,0.68
524,BIG5,Best Model,0.190768,0.057276,0.92
525,BIG5,Best Model,0.439418,5e-06,1.0
526,BIG5,Best Model,0.596187,0.0,0.68
527,BIG5,Best Model,0.375411,0.000119,0.95
528,BIG5,Best Model,0.558683,0.0,1.04
529,BIG5,Best Model,0.770625,0.0,0.75
530,BIG5,Best Model,0.317918,0.001267,0.85
531,BIG5,Best Model,0.424396,1.1e-05,1.02
532,BIG5,Best Model,0.515231,0.0,0.96
533,BIG5,Best Model,0.625677,0.0,0.84
534,BIG5,Best Model,0.368257,0.000163,0.87
535,BIG5,Best Model,0.255116,0.010418,1.06
536,BIG5,Best Model,0.453846,2e-06,0.8
537,BIG5,Best Model,0.531063,0.0,0.91
538,BIG5,Best Model,0.529974,0.0,1.02
539,BIG5,Best Model,0.404665,3e-05,0.81
540,BIG5,Best Model,0.366275,0.000178,0.95
