,impressions,age,gender,id,target,fold,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32
37,They like to laugh and tell jokes but do not like being on the receiving end of it.,31.0,1,6333813956b0fd924b64a4d0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,4.0,
38,"I feel as if this person enjoys banter and humor a lot, as they enjoy teasing their friends playfully as well as making them laugh. They also seem to use humor as a way to make the serious parts of life feel less serious.",18.0,1,6423d098cc3b750f1d2a42d8,43.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,
39,"Wants people to like them. Tried not to offend, uses humor as a defense",68.0,2,60f728553a37102574b585c4,51.0,7.0,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,
40,I agreed with some of their views but think they are too harsh on peoples feeling when making jokes and such,56.0,2,63bfe3ecac5ad9d9ab40a643,45.0,4.0,,,,,,3.0,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,
41,"They dont often make jokes about other people, the jokes are centered around themself",45.0,2,5e2a39c9eb557a09b3681869,3.0,9.0,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
42,Too serious,36.0,2,5f4e6e6fda46ae04d1175fed,7.0,9.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
43,uses humor to cope. ,26.0,2,603547b340cc76520e4e799d,39.0,7.0,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,5.0,,
44,"They enjoy humour and find themselves funny, but don't self deprecate to a fault or participate in putting others down ",27.0,1,60816f846749f7930fdeb161,10.0,4.0,,,,,,3.0,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,
45,They need some help,30.0,1,628b9a0c406bd1573eb608f2,33.0,6.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
46,A jokester that doesn't need others to make things fun,48.0,2,64473265ec422c57f36199a7,47.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,2.0,
47,This person bases a lot of their personality around their sense of humor.,34.0,1,6288557c67c5e08a1ebaf795,24.0,6.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
48,They are fun to be around and are often in a good mood. ,68.0,2,60175f132ab6d09b8e75450f,35.0,6.0,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
49,They worry about others' opinions in terms of comedy / humor,26.0,1,630e5de2354fe6e5c46b5a00,5.0,8.0,,,,,,,,1.0,,4.0,,,,,,,,,,3.0,,,,,,,,,,,,
50,they joke around a lot. They seem a little immature since if they are always making something into a joke or don't care about other people/situation when making a joke,28.0,1,63f7b8c25fc05973386fcdff,44.0,3.0,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,1.0,,,,,,,
51,this person seemed like a genuinely nice person who also uses humor to make themselves feel better,20.0,2,60ff370d72c7318d3e672c04,40.0,2.0,,,,,,,,,,,,,,,5.0,,2.0,,,,,,,,,,1.0,,2.0,,,
52,this person does not seem to have any sense of humor and does not seem to be very sociable,28.0,1,5c830a66d6a4d0000164097d,23.0,10.0,,,,,,,,,,,,,1.0,,,4.0,,,,,,3.0,,,,,,,,,,
53,They like to joke around even if it bothers others ,42.0,2,63e5479f65b4fd95db6a9cd8,23.0,1.0,,,5.0,,,,,,,,4.0,1.0,,,,,,,,,,,2.0,,,,,,,,,
54,"I think this person has a good sense of humor, but doesn't use it to hurt people ",50.0,2,610da052e73bf3db58b1402f,4.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,1.0,,1.0,,,
55,Kinda and considerate ,28.0,2,63d4b666426ec120e0f567f9,2.0,1.0,,,2.0,,,,,,,,1.0,3.0,,,,,,,,,,,3.0,,,,,,,,,
56,They like to make other people laugh but is not funny when alone ,68.0,1,5de7f88b762dc2775b2265b8 ,29.0,1.0,,,3.0,,,,,,,,2.0,3.0,,,,,,,,,,,4.0,,,,,,,,,
57,I feel that this person is light-hearted and they enjoy laughing and making jokes with their friends. I think they are sincere and do not like to use humor to make fun of others. I think they are not that sensitive to jokes either.,29.0,2,613144a2644e06ca44d6c13c,24.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,1.0,,,,,,,
58,I think that this person uses humor to uplift him/herself and others but tries to be sensitive about how their jokes/stories might impact people around them. ,33.0,2,608a3af1093571af0fb3bc58,52.0,6.0,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
59,"Funny, friendly , outgoing",19.0,2,6143c54419a0e89c28649418,58.0,1.0,,,2.0,,,,,,,,4.0,3.0,,,,,,,,,,,2.0,,,,,,,,,
60,"This person likes to make others laugh and have a good time, even if it is at the expense of the this person.",21.0,2,61128a785cde987fd0b18ac8,53.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,2.0,
61,This person does not joke around in their everyday life. They like to laugh at jokes but are no good at making jokes. They will not put themselves down while telling a joke and do not tell jokes or use humor as a coping mechanism.,26.0,2,60fd201ddecfacd72eccae7f,9.0,7.0,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,
62,"negative, serious, insensitive",60.0,2,63924c82c0f3b2dba3174427,7.0,2.0,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,,4.0,,3.0,,,
63,he is a very funny person and likes joking around. he uses humor to cope with a lot of life's emotions.,25.0,2,6074f9259206bee52b6bc013,42.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,1.0,,,,,,,
64,I think they know how to make a joke but don't know how to take it,33.0,2,607dadd7d36ac2f5d4e9d551,12.0,6.0,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
65,Doesn't like making fun of people if it  hurts their feelings. high self esteem,56.0,1,640912d475d8f1047d318723,32.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,2.0,,5.0,,,
66,"I think they use humor as a private coping mechanism in certain situations, but overall they repress their humorous side around others because they are self conscious.",45.0,2,5f4cd10836de2f02dbab436c,14.0,8.0,,,,,,,,1.0,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,
67,They value humor above all else,33.0,1,5b298f3c007d870001c81bea,56.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,1.0,
68,He sees humor as an answer in most situations and thinks of himself as very funny,68.0,2,644087beeb531ba7b10ae320,43.0,7.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,
69,"kind hearted, preffering lighter subject matter in social situations ",43.0,1,63dd6ec1452ed58051cfa62a,36.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,5.0,,,,,5.0,
70,"This person allows others to mock them, but doesn't mock themselves? They seem to make themselves laugh when they are sad....but other times they don't. They aren't a jokester, but apparently they looove to make people laugh? I don't get it. I found the responses confusing.",34.0,2,5de680a5cc246f5fed550321,48.0,1.0,,,4.0,,,,,,,,4.0,2.0,,,,,,,,,,,3.0,,,,,,,,,
71,They don't really have a sense of humor,28.0,2,5f1b0abbb84a5207673cb637,54.0,9.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
72,I think they don't like to hurt people's feelings or make them feel bad ever,31.0,2,5aeab6e39e185a0001b9e272,37.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,5.0,
73,"This person enjoys joking hand having a good time, but they do not do it at the expense of others",29.0,2,6100164834de2c2ab7afceef,25.0,1.0,,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,4.0,,,,,,,,,
74,"he like to make people laugh, however when he is alone he does not try to cheer himself up.",45.0,2,5783027f913c71000197300d,5.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,3.0,,1.0,,,
75,"This person uses humor to cope with stress and social situations, and often puts themselves down for the laughs.",43.0,1,62ddaf6866360121676c29c3,35.0,2.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,2.0,,2.0,,,
76,"Kind, but somewhat contradictory regarding the role of humor and joking around with friends",41.0,2,644d4c4c94c40164d41a261c,55.0,6.0,,5.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
77,They don't really use humor as an active method to improve their mood.,27.0,1,64014740dd1b9735169f2ddf,10.0,1.0,,,1.0,,,,,,,,2.0,3.0,,,,,,,,,,,4.0,,,,,,,,,
78,This person looks at life in a positive manner.,63.0,2,5e02e86e67f170e232425286,30.0,9.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
79,Funy but low self esteem ,40.0,1,59b4b2aa90ee4c0001d018eb,56.0,4.0,,,,,,5.0,,,1.0,,,,,,,,,5.0,,,,,,,,,,,,,,
80,My impression of this person is that they don’t care so much for other people or how they make others feel. Probably has poor taste in comedy.,27.0,3,64557c524f3391b18b143750,38.0,9.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
81,This person seems to be somewhat funny ,25.0,2,64569d2e7398b88acb3aa713,13.0,7.0,,,,,3.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0,,
82,I think they are weird not enjoying humor,24.0,1,6168a6cdc303371392b9d9c8,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,
83,Humor is an effective coping mechanism for this person,24.0,1,6340d2fa46f2d707e146b63b,46.0,9.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
84,Someone who doesn't feel the need to be swayed by others in order to make anyone feel better.,55.0,2,6387f4bcdf5c22093c240bf6,6.0,1.0,,,1.0,,,,,,,,4.0,3.0,,,,,,,,,,,5.0,,,,,,,,,
85,"Thoughtful, serious, maybe a bit melancholy",33.0,3,6150924364cf0d25d3ecb2a7,59.0,1.0,,,1.0,,,,,,,,2.0,2.0,,,,,,,,,,,4.0,,,,,,,,,
86,They seem funny and good natured. ,41.0,1,55b5f6b6fdf99b713277dc94,50.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,,,,2.0,
87,They are conscious of not hurting other people with their humor unless its someone they dont like. And they are neutral or below in seeing the positive things in a situation to cheer themselves up.,37.0,1,5effbf5171b1190b98260bb8,19.0,6.0,,3.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
88,They're a lighthearted person that find humor in a lot of things in life. They don't like to put people down or offend with humor but instead just genuinely like to make people laugh. They may also be a kind of depressed person some of the time.,31.0,2,5c4e9bd1818d4d00013e8859,41.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,,,2.0,
89,Makes fun of others,24.0,2,5cc489df3e74d80001198974,27.0,1.0,,,5.0,,,,,,,,5.0,2.0,,,,,,,,,,,1.0,,,,,,,,,
90,"it seems like they are a humorous person, and will make fun of people if they don’t like them. They will sometimes make fun of theme selves and not take life too seriously ",29.0,2,62bb2aab9ab9a9f782859359,16.0,6.0,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0
91,"He seems to like humor and will laugh and joke with his friends or family, but may not laugh and joke as much with strangers. He doesn't like humor that is belittling to anyone and he doesn't use self-deprecating humor. When he is sad, it is hard for him to cheer himself up. He needs others to help him feel better.",37.0,2,607802b6d705eba12dcc4413,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,4.0,
92,"Somewhat prone to depression. Enjoys laughing with others, but doesn't especially appreciate being the subject of jokes. Takes themselves pretty seriously. Might participate in inappropriate humor in the company of friends.",59.0,3,63928a247ca3810498cb5c46,3.0,4.0,,,,,,2.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,
93,"They seem to be someone with a good sense of humor, who uses humor as a way to cheer up themselves and others, but don't do so in a mean way. They also don't belittle themselves.",35.0,2,5efd092016a00a14559605bc,60.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,4.0,
94,"This person is nice, caring, likes to laugh with family and friends.",31.0,1,63bf8a649931574320e98357,22.0,7.0,,,,,4.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,4.0,,
95,A witty social person who loves people.,18.0,1,63d3fa07ac2091e80fb9ce62,47.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,
96,Self deprecating humor but the don’t seem to wallow or are overly depressed,24.0,2,63238770fbbe1a4ee0554783,57.0,6.0,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
97,They seem to have humor but maybe have depression when their close ones arent around ,29.0,2,5e94b9964b34ff81dd869755,26.0,8.0,,,,,,,,1.0,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,
98,"very naturally comical, but not at the expense of others much",32.0,1,63d8006d480290b3e15245f1,21.0,1.0,,,1.0,,,,,,,,3.0,5.0,,,,,,,,,,,4.0,,,,,,,,,
99,This person has a weird sense of humor.,43.0,2,5cba9a8a214b1a0016ccf708,20.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,2.0,
100,It seems like the participant enjoys using humor as a coping mechanism and to make others laugh.,66.0,1,642e880fcd7287e38beba0b5,61.0,10.0,,,,,,,,,,,,,5.0,,,2.0,,,,,,4.0,,,,,,,,,,
101,It’s someone who lacks self confidence.  They seem to make jokes about themselves to entertain and keep people around them.,37.0,1,5843e65e56019d0001f6a305,49.0,10.0,,,,,,,,,,,,,4.0,,,4.0,,,,,,3.0,,,,,,,,,,
102,"someone who copes with humor, is very quick to joke about any situation, but inappropriate at times and hurtful without respect for others in the name of a laugh",23.0,2,5aa52f9235237b000112fa15,45.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,1.0,,,,,,,
103,"Very easy going, uncomplicated, tries to enjoy life avoiding complications.",60.0,1,5e57fdd4ba0130000c520c46,31.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,5.0,,,,,1.0,
104,Good hearted individual that does not let the little things bother them.,57.0,2,5abe4f25fa3b4e000173303f,39.0,1.0,,,3.0,,,,,,,,2.0,3.0,,,,,,,,,,,3.0,,,,,,,,,
105,This person tries to make the best of things and uses humor as an uplifting way,30.0,2,5d33eba92fd5a40016e58abb,44.0,2.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,2.0,,1.0,,,
106,Pretty average,22.0,2,6111bfb55f65580a22c1608c,23.0,2.0,,,,,,,,,,,,,,,5.0,,4.0,,,,,,,,,,1.0,,3.0,,,
107,"Narcissistic, No filter, cringey, bully.",48.0,1,55cb2a63fdf99b10f22465e2,51.0,10.0,,,,,,,,,,,,,5.0,,,5.0,,,,,,1.0,,,,,,,,,,
108,"He likes joking around, but not at the expense of others.",76.0,2,57d435c8ca054400014bac35,33.0,9.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
109,They are humorous when with a group of close friends but don’t really try to be humorous when around others. ,50.0,1,6278856ed61afb01f6e4d0ac,12.0,7.0,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,4.0,,
110,"He is a funny person, who likes humor, he loves to entertain other people",62.0,2,6150a835a03467f9e2ff56ba,58.0,2.0,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,2.0,,1.0,,,
111,Very jovial care free individual with a sense of humour.,57.0,1,5eaae4d434376206a8a74337,13.0,4.0,,,,,,4.0,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,
112,They seem a bit cruel to me by laughing other people's mistakes or shortcomings.,30.0,2,5f1b3b0e1a34ed300209d2df,45.0,6.0,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0
113,Seems pretty humble but is big on morals,23.0,1,63d1440d8aaa77b3fa854a36,14.0,9.0,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
114,"This person is sarcastic, funny and confident but on the inside is doubting of himself.",47.0,2,5fd244cf39e5f7082808979c,58.0,7.0,,,,,5.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,5.0,,
115,A very funny kind person. Very considerate of other peoples feelings. Someone I would consider a good friend. ,51.0,1,644d9f390f2b8274af07c00e,34.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,5.0,
116,I think this person probably has an expansive sense of humor and is not afraid to laugh at themself ,32.0,1,5e3f778e91be661ca60e3540,57.0,2.0,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,3.0,,2.0,,,
117,They are a person who likes to joke but may make jokes at others' expenses. ,31.0,2,5c6d460ec3aa150001145611,25.0,7.0,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,
118,They are the typical class clown,28.0,1,63d7ea9813de5c13e87d3140,54.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,1.0,,,,,,,
119,"This person likes to laugh, even at other's expense.",49.0,1,57c725d89a5f4f0001f661bd,56.0,1.0,,,5.0,,,,,,,,5.0,5.0,,,,,,,,,,,1.0,,,,,,,,,
120,"This person is an extrovert who is naturally inclined to use humor when with other people. He is, however, sensitive to the feelings of others and does not use sarcastic or biting humor as a weapon to put people down by masking the criticism with humor. When this person is sad or upset he does not feel amused or say humorous things.",66.0,2,61099a5c04f32c99f34ce2a8,26.0,2.0,,,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,1.0,,1.0,,,
121,They put them selves down to cheer others up but when alone they treat themselves better,20.0,2,6110cdf08f97aaa6df6f1179,40.0,4.0,,,,,,4.0,,,2.0,,,,,,,,,4.0,,,,,,,,,,,,,,
122,"I think this person is well-liked, conscious of their own words, and tries their best not to be mean or offend others.",21.0,2,61001c31a2048dd7cd36d392,31.0,8.0,,,,,,,,1.0,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,
123,"Very humorous, easy going",32.0,3,61fa945e5719bc09cb834f15,29.0,8.0,,,,,,,,4.0,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,
124,I feel this person hides he’s or her feelings and let’s no one know exactly what he/she are going through in there life.,47.0,2,63f779111c0c5d6abc36db57,24.0,9.0,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
125,This person is too willing to put themselves down to please others.,52.0,1,62fee4976ce0883ebbc86e20,10.0,2.0,,,,,,,,,,,,,,,4.0,,3.0,,,,,,,,,,1.0,,2.0,,,
126,The person seems to be overall well balanced. Seems to have a great sense of humor and a solid support system in family and friends.,32.0,1,63e5257dc5aceb22cee2ddf1,60.0,10.0,,,,,,,,,,,,,5.0,,,5.0,,,,,,2.0,,,,,,,,,,
127,This is a naturally funny person because they enjoy humor and not at the expense of themselves or others. They seem friendly and self assured,37.0,2,6014318356f32e39dac7d569,41.0,10.0,,,,,,,,,,,,,5.0,,,5.0,,,,,,1.0,,,,,,,,,,
128,"humorous person who enjoys making others laugh, sometimes at the expense of making fun of themselves. This person does not stand for making fun of others or laughing at the expense of others getting their feelings hurt",29.0,2,613a33fcd6b7f58f6fc21192,22.0,3.0,,,,,,,,,,,,,,4.0,,,,,,,5.0,,,,1.0,,,,,,,
129,This person seems to use humor as a coping mechanism in a lot of situations. ,30.0,2,63e52076fc677ee3ccce9a4d,17.0,10.0,,,,,,,,,,,,,5.0,,,2.0,,,,,,2.0,,,,,,,,,,
130,this person does not have a good sense of humor,21.0,2,612bbf7f2777e375241f0f45,55.0,10.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,5.0,,,,,,,,,,
131,"They have a good sense of humor, but can joke about things that sometimes they shouldn't. They aren't big on making fun of themselves, but it's not completely off limits. They don't have really good skills at cheering themselves up if they're down. They can find things that are funny even if they're by themselves.",69.0,2,63b9ff9f64549294f0abe3c1,16.0,9.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
