,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
40,2.0,4.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0
41,3.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0
46,3.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0
50,3.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,4.0
53,2.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0
57,2.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,5.0
58,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0
60,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
63,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
64,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
67,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,4.0
70,2.0,4.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0
71,1.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,1.0,5.0
72,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0
75,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
77,2.0,4.0,2.0,1.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0
79,4.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,5.0,4.0,2.0,5.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0
80,2.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
82,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0
86,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0
87,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0
88,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0
89,3.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
91,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0
95,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0
99,2.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,4.0
100,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
101,1.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0
102,2.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
103,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0
104,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
108,1.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,1.0,5.0,2.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,4.0,5.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,2.0,4.0,1.0,4.0
109,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0
110,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
112,1.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,1.0,4.0
113,1.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0
115,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0
116,2.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0
118,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
120,4.0,3.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0
122,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
123,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0
125,2.0,4.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0
126,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0
127,2.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0
129,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0
132,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,5.0,2.0
133,1.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0
134,2.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0
135,2.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0
136,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
137,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
140,2.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0
141,2.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0
142,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,5.0,3.0,2.0,5.0,1.0,4.0,4.0,3.0,2.0,4.0,1.0,4.0
143,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0
145,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0
146,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0
148,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0
150,3.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0
151,1.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0
152,3.0,5.0,2.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0
153,2.0,5.0,2.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0
155,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0
156,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0
157,2.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0
163,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0
165,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
168,2.0,4.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0
170,4.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,2.0
171,2.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,4.0
172,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
173,2.0,5.0,1.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0
174,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
175,2.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0
176,4.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,4.0,3.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,5.0,4.0,1.0,5.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0
181,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,4.0
182,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0
184,2.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0
186,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0
187,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
188,2.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0
190,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0
193,2.0,2.0,5.0,5.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0
195,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0
196,3.0,3.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0
198,2.0,4.0,2.0,2.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0
199,3.0,4.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,4.0,3.0
201,2.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0
202,1.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,5.0,5.0,2.0,2.0,4.0,1.0,3.0,4.0,3.0,2.0,4.0,1.0,5.0
203,2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0
