,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32
34,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0
36,2.0,3.0,5.0,4.0,4.0,5.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0
37,2.0,3.0,2.0,1.0,5.0,5.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0
38,3.0,4.0,2.0,5.0,1.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,2.0,2.0
40,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0
41,3.0,4.0,2.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,1.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0
46,4.0,2.0,3.0,5.0,2.0,5.0,4.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,5.0,2.0,3.0,4.0
50,3.0,4.0,3.0,1.0,5.0,5.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0
53,2.0,5.0,4.0,3.0,4.0,3.0,5.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,3.0
57,3.0,4.0,3.0,3.0,4.0,5.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,2.0,3.0,3.0,5.0,4.0,3.0,1.0,5.0,3.0,3.0,2.0,2.0,2.0,5.0
58,4.0,5.0,1.0,5.0,2.0,2.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,2.0,4.0,3.0,3.0,1.0,2.0
60,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0
63,2.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0
64,4.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,4.0,1.0,2.0,5.0,3.0,2.0,4.0,2.0,3.0,3.0
67,3.0,4.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0
70,3.0,4.0,1.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,2.0,1.0,4.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0
71,2.0,3.0,5.0,4.0,3.0,5.0,1.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,4.0,5.0,2.0,5.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,2.0,3.0,5.0
72,2.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,5.0,2.0,2.0,1.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0
75,4.0,4.0,2.0,5.0,2.0,1.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,5.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0
77,3.0,3.0,2.0,2.0,3.0,5.0,5.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,5.0,2.0,1.0,3.0,5.0,1.0,3.0,4.0,3.0,2.0,4.0
79,4.0,5.0,2.0,4.0,5.0,3.0,5.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,1.0
80,2.0,5.0,4.0,2.0,1.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,4.0
82,2.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0
86,2.0,5.0,4.0,5.0,4.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0
87,3.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0
88,2.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0
89,4.0,4.0,1.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0
91,3.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0
95,2.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,1.0,3.0,2.0,3.0,3.0,4.0
99,2.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,5.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,2.0,4.0,3.0
100,3.0,5.0,3.0,5.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,2.0
101,1.0,3.0,5.0,3.0,3.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0
102,2.0,5.0,2.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0
103,2.0,3.0,5.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0
104,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
108,2.0,3.0,5.0,4.0,5.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,1.0,5.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,5.0
109,3.0,3.0,3.0,3.0,3.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,4.0,3.0,1.0,2.0
110,3.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0
112,1.0,3.0,4.0,2.0,5.0,5.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,3.0,5.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,4.0,5.0
113,3.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,5.0,4.0,1.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,3.0
115,3.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,3.0,3.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0
116,3.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0
118,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0
120,4.0,4.0,2.0,3.0,4.0,5.0,5.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,5.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,1.0,4.0
122,2.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
123,3.0,3.0,4.0,3.0,1.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0
125,4.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,3.0
126,2.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,5.0,3.0,1.0,5.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0
127,4.0,3.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0
129,4.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,4.0
132,5.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,3.0,5.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,3.0
133,2.0,3.0,4.0,4.0,2.0,5.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0
134,3.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,4.0,2.0,3.0,2.0,3.0
135,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
136,4.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0
137,4.0,4.0,3.0,5.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0
140,2.0,3.0,5.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,2.0,5.0,4.0,5.0,2.0,3.0,3.0,2.0,3.0,4.0
141,3.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,1.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0
142,1.0,3.0,4.0,2.0,2.0,5.0,1.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,5.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,5.0,3.0,3.0,2.0,1.0,5.0,5.0
143,3.0,3.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,2.0,5.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0
145,2.0,3.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,4.0
146,2.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,4.0
148,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,1.0,3.0,3.0,1.0
150,4.0,5.0,2.0,4.0,1.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0
151,2.0,3.0,5.0,3.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,5.0
152,4.0,4.0,3.0,1.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,3.0,2.0,4.0
153,2.0,5.0,1.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,3.0,3.0
155,3.0,5.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,4.0
156,3.0,3.0,1.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0
157,3.0,4.0,3.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,5.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0
163,3.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0
165,3.0,3.0,4.0,5.0,3.0,2.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,5.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0
168,3.0,3.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0
170,5.0,5.0,2.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0
171,3.0,4.0,3.0,5.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0,1.0,4.0,4.0,3.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,4.0
172,3.0,4.0,1.0,4.0,5.0,3.0,4.0,5.0,3.0,1.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0
173,2.0,3.0,4.0,3.0,5.0,5.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,5.0,1.0,2.0,1.0,5.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0,3.0
174,4.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,1.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0
175,3.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,2.0,3.0,2.0,3.0,3.0,4.0
176,4.0,4.0,1.0,3.0,5.0,3.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,5.0,4.0,1.0
181,4.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,2.0,5.0,1.0,2.0,2.0,2.0,1.0,3.0
182,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,5.0,4.0,1.0,2.0,4.0,3.0,2.0,5.0,2.0,1.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0
184,2.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0
186,4.0,4.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0
187,4.0,4.0,3.0,4.0,5.0,2.0,5.0,5.0,2.0,1.0,3.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0
188,3.0,3.0,4.0,3.0,1.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0,5.0,4.0,3.0,1.0,1.0,2.0,3.0
190,3.0,3.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,4.0
193,2.0,4.0,4.0,5.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,3.0,3.0
195,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0
196,4.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,2.0
198,4.0,3.0,3.0,2.0,5.0,5.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,5.0,3.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0
199,3.0,4.0,2.0,4.0,5.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0
201,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,1.0,5.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0
202,2.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,5.0,2.0,4.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0
203,3.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,4.0
