,constructs
q320,19.0
q321,85.0
q322,92.0
q323,207.0
q325,86.0
q326,92.0
q329,1.0
q330,1.0
q331,1.0
q332,15.0
q333,86.0
q335,12.0
q336,19.0
q337,207.0
q338,12.0
q339,75.0
q340,1.0
q341,12.0
q342,19.0
q344,112.0
q346,129.0
q347,19.0
q348,12.0
q350,93.0
q351,93.0
q352,92.0
q356,22.0
q358,81.0
q359,15.0
q360,86.0
q362,12.0
q363,86.0
q364,12.0
q365,129.0
q366,12.0
q367,110.0
q369,93.0
q370,12.0
q371,207.0
q375,79.0
q376,5.0
q377,207.0
q379,46.0
q380,19.0
q390,46.0
q392,12.0
q393,12.0
q396,12.0
q398,1.0
q402,207.0
q403,19.0
q408,85.0
q410,4.0
q411,129.0
q412,207.0
q414,185.0
q416,12.0
q417,86.0
q419,129.0
q420,195.0
q422,195.0
q426,12.0
q428,92.0
q429,12.0
q433,137.0
q434,86.0
q436,12.0
q439,85.0
q440,86.0
q441,153.0
q444,185.0
q445,12.0
q449,12.0
q451,12.0
q455,28.0
q456,207.0
q457,12.0
q458,129.0
q460,92.0
q462,132.0
q464,129.0
q467,110.0
q468,86.0
q471,8.0
q473,207.0
q475,86.0
q476,207.0
q477,92.0
q478,86.0
q480,162.0
q481,12.0
q482,198.0
q483,137.0
q484,207.0
q486,102.0
q489,86.0
q490,207.0
q495,12.0
q498,129.0
q503,12.0
q504,129.0
q507,19.0
q513,86.0
q515,46.0
q516,12.0
q518,12.0
q520,207.0
q521,81.0
q527,81.0
q528,92.0
q529,207.0
q532,19.0
q535,110.0
q538,34.0
q546,46.0
q547,86.0
q548,92.0
q550,86.0
q554,81.0
q555,145.0
q556,153.0
q558,85.0
q559,15.0
q560,207.0
q561,12.0
q562,85.0
q566,110.0
q571,140.0
q572,140.0
q573,140.0
q574,140.0
q575,140.0
q576,140.0
q577,242.0
q578,34.0
q579,142.0
q580,242.0
q581,207.0
q582,12.0
q583,242.0
q584,12.0
q585,12.0
q586,195.0
q587,86.0
q588,33.0
q592,10.0
q593,63.0
q594,10.0
q595,46.0
q597,19.0
q598,19.0
q600,46.0
q604,46.0
q606,46.0
q607,10.0
q608,10.0
q613,12.0
q614,12.0
q616,81.0
q618,171.0
q619,12.0
q620,12.0
q621,12.0
q622,198.0
q623,12.0
q624,28.0
q625,12.0
q626,150.0
q627,12.0
q628,12.0
q629,86.0
q631,198.0
q632,12.0
q633,86.0
q634,12.0
q635,12.0
q636,86.0
q637,153.0
q638,12.0
q639,153.0
q640,153.0
q641,86.0
q642,86.0
q643,12.0
q644,12.0
q645,12.0
q646,12.0
q647,86.0
q648,86.0
q649,86.0
q650,153.0
q651,86.0
q652,129.0
q658,102.0
q660,19.0
q662,12.0
q663,19.0
q667,46.0
q668,153.0
q669,237.0
q670,129.0
q671,137.0
q673,86.0
q674,86.0
q676,12.0
q678,34.0
q679,237.0
q681,85.0
q683,81.0
q685,34.0
q687,195.0
q689,12.0
q690,12.0
q692,153.0
q696,129.0
q697,110.0
q698,110.0
q699,113.0
q700,4.0
q701,129.0
q702,207.0
q707,86.0
q711,110.0
q713,86.0
q715,49.0
q716,110.0
q717,86.0
q722,86.0
q724,207.0
q725,92.0
q726,86.0
q734,86.0
q738,110.0
q739,92.0
q749,224.0
q752,86.0
q757,207.0
q758,50.0
q759,159.0
q761,12.0
q762,34.0
q764,19.0
q766,137.0
q776,86.0
q778,86.0
q781,86.0
q784,51.0
q786,12.0
q787,12.0
q789,153.0
q790,12.0
q791,86.0
q792,86.0
q794,152.0
q795,1.0
q797,172.0
q801,207.0
q802,8.0
q804,86.0
q805,129.0
q806,172.0
q807,207.0
q809,153.0
q810,153.0
q811,172.0
q812,153.0
q813,153.0
q814,171.0
q815,207.0
q816,140.0
q817,207.0
q818,86.0
q819,129.0
q823,185.0
q824,122.0
q825,12.0
q827,12.0
q830,129.0
q831,207.0
q834,12.0
q838,6.0
q839,86.0
q840,86.0
q845,85.0
q846,185.0
q849,140.0
q850,207.0
q852,12.0
q853,79.0
q858,12.0
q860,10.0
q861,153.0
q867,86.0
q868,85.0
q870,12.0
q871,81.0
q872,153.0
q877,19.0
q878,206.0
q879,237.0
q880,22.0
q886,207.0
q890,1.0
q892,140.0
q894,12.0
q897,86.0
q900,110.0
q909,46.0
q911,110.0
q912,207.0
q913,12.0
q914,79.0
q917,79.0
q920,10.0
q924,1.0
q926,86.0
q930,140.0
q937,129.0
q938,1.0
q940,1.0
q943,92.0
q948,137.0
q952,6.0
q953,86.0
q954,79.0
q955,12.0
q956,198.0
q957,171.0
q958,129.0
q960,198.0
q961,153.0
q962,86.0
q963,6.0
q965,237.0
q967,152.0
q968,8.0
q969,12.0
q971,207.0
q972,153.0
q974,92.0
q975,86.0
q976,153.0
q977,12.0
q978,86.0
q979,15.0
q980,140.0
q981,66.0
q982,12.0
q983,153.0
q985,171.0
q988,12.0
q989,86.0
q990,86.0
q991,6.0
q993,86.0
q994,50.0
q995,50.0
q996,153.0
q997,206.0
q998,12.0
q1000,85.0
q1001,171.0
q1002,86.0
q1007,92.0
q1010,86.0
q1013,153.0
q1014,12.0
q1015,85.0
q1016,1.0
q1018,140.0
q1020,63.0
q1021,46.0
q1022,195.0
q1026,110.0
q1028,110.0
q1030,1.0
q1033,12.0
q1034,12.0
q1037,86.0
q1038,1.0
q1039,19.0
q1040,19.0
q1041,153.0
q1042,132.0
q1043,7.0
q1044,206.0
q1047,153.0
q1048,153.0
q1052,86.0
q1053,86.0
q1054,86.0
q1055,86.0
q1057,86.0
q1058,86.0
q1060,46.0
q1065,12.0
q1068,86.0
q1069,153.0
q1070,110.0
q1072,153.0
q1073,153.0
q1074,137.0
q1076,171.0
q1077,207.0
q1078,237.0
q1080,113.0
q1082,34.0
q1083,12.0
q1084,129.0
q1085,81.0
q1086,12.0
q1087,185.0
q1088,132.0
q1089,86.0
q1090,86.0
q1092,153.0
q1094,185.0
q1095,158.0
q1096,22.0
q1097,206.0
q1098,12.0
q1099,207.0
q1100,171.0
q1102,140.0
q1103,19.0
q1106,185.0
q1107,19.0
q1109,12.0
q1112,153.0
q1113,36.0
q1114,86.0
q1115,86.0
q1116,10.0
q1118,92.0
q1121,28.0
q1122,10.0
q1125,110.0
q1126,86.0
q1128,92.0
q1129,92.0
q1131,102.0
q1132,12.0
q1134,34.0
q1136,50.0
q1139,34.0
q1140,86.0
q1142,10.0
q1143,5.0
q1144,207.0
q1145,137.0
q1146,19.0
q1147,19.0
q1148,207.0
q1151,110.0
q1152,110.0
q1153,110.0
q1155,12.0
q1156,92.0
q1157,34.0
q1160,207.0
q1161,12.0
q1163,12.0
q1164,12.0
q1166,237.0
q1167,12.0
q1168,79.0
q1169,90.0
q1171,207.0
q1172,110.0
q1173,21.0
q1175,6.0
q1176,207.0
q1178,12.0
q1179,86.0
q1181,12.0
q1182,86.0
q1183,5.0
q1185,140.0
q1187,86.0
q1188,19.0
q1192,207.0
q1195,207.0
q1197,207.0
q1198,153.0
q1199,93.0
q1200,92.0
q1201,93.0
q1204,206.0
q1205,92.0
q1207,92.0
q1208,12.0
q1212,12.0
q1214,92.0
q1215,86.0
q1216,10.0
q1217,12.0
q1218,92.0
q1221,93.0
q1222,93.0
q1223,129.0
q1224,86.0
q1228,12.0
q1230,140.0
q1232,86.0
q1234,153.0
q1235,153.0
q1238,153.0
q1240,34.0
q1241,92.0
q1242,12.0
q1243,69.0
q1244,207.0
q1245,12.0
q1247,12.0
q1250,12.0
q1251,110.0
q1252,237.0
q1255,12.0
q1256,34.0
q1257,93.0
q1261,152.0
q1262,92.0
q1263,5.0
q1264,110.0
q1265,113.0
q1266,12.0
q1267,162.0
q1269,110.0
q1270,110.0
q1271,86.0
q1272,195.0
q1275,92.0
q1278,27.0
q1280,12.0
q1281,86.0
q1282,5.0
q1283,110.0
q1289,207.0
q1291,207.0
q1292,153.0
q1293,207.0
q1294,12.0
q1296,12.0
q1299,129.0
q1300,12.0
q1301,86.0
q1302,59.0
q1303,207.0
q1305,1.0
q1310,79.0
q1313,86.0
q1314,86.0
q1315,12.0
q1316,19.0
q1319,5.0
q1320,110.0
q1322,5.0
q1323,153.0
q1324,153.0
q1329,34.0
q1330,12.0
q1331,140.0
q1332,140.0
q1334,46.0
q1337,207.0
q1339,46.0
q1343,129.0
q1345,86.0
q1347,153.0
q1350,81.0
q1351,15.0
q1352,15.0
q1356,12.0
q1357,152.0
q1358,81.0
q1359,12.0
q1360,12.0
q1361,132.0
q1362,12.0
q1363,12.0
q1364,12.0
q1365,12.0
q1370,207.0
q1372,12.0
q1374,132.0
q1375,132.0
q1376,81.0
q1378,12.0
q1382,81.0
q1384,122.0
q1385,6.0
q1392,195.0
q1393,206.0
q1395,153.0
q1398,132.0
q1399,93.0
q1404,19.0
q1405,12.0
q1408,12.0
q1410,198.0
q1412,12.0
q1413,15.0
q1414,6.0
q1417,113.0
q1418,85.0
q1419,6.0
q1420,12.0
q1422,153.0
q1423,21.0
q1426,46.0
q1428,153.0
q1431,182.0
q1434,122.0
q1438,12.0
q1440,86.0
q1441,140.0
q1443,140.0
q1444,140.0
q1445,207.0
q1446,140.0
q1447,85.0
q1448,33.0
q1449,85.0
q1451,12.0
q1454,10.0
q1457,140.0
q1458,129.0
q1466,129.0
q1467,207.0
q1468,129.0
q1471,129.0
q1472,129.0
q1473,129.0
q1477,129.0
q1478,129.0
q1481,129.0
q1483,12.0
q1489,207.0
q1494,12.0
q1498,207.0
q1499,129.0
q1501,22.0
q1502,91.0
q1505,129.0
q1507,129.0
q1511,129.0
q1514,207.0
q1515,129.0
q1516,129.0
q1517,129.0
q1523,129.0
q1524,129.0
q1529,19.0
q1530,129.0
q1534,34.0
q1536,81.0
q1537,137.0
q1541,129.0
q1553,207.0
q1555,129.0
q1557,129.0
q1566,129.0
q1570,185.0
q1571,129.0
q1574,19.0
q1576,129.0
q1579,207.0
q1580,207.0
q1587,129.0
q1588,129.0
q1591,12.0
q1595,129.0
q1597,86.0
q1599,137.0
q1601,129.0
q1605,129.0
q1608,207.0
q1610,129.0
q1611,129.0
q1612,129.0
q1613,22.0
q1615,207.0
q1616,207.0
q1617,129.0
q1618,129.0
q1619,129.0
q1620,129.0
q1622,129.0
q1624,10.0
q1625,92.0
q1627,102.0
q1628,4.0
q1629,10.0
q1631,86.0
q1632,12.0
q1634,12.0
q1635,86.0
q1636,86.0
q1637,12.0
q1638,12.0
q1642,129.0
q1644,86.0
q1650,129.0
q1652,12.0
q1655,86.0
q1661,207.0
q1664,86.0
q1669,12.0
q1670,207.0
q1674,86.0
q1678,185.0
q1681,12.0
q1682,185.0
q1683,12.0
q1684,5.0
q1685,185.0
q1686,185.0
q1689,86.0
q1693,86.0
q1694,6.0
q1695,153.0
q1696,102.0
q1699,110.0
q1703,85.0
q1704,129.0
q1705,207.0
q1706,207.0
q1707,207.0
q1708,207.0
q1709,207.0
q1711,207.0
q1712,129.0
q1713,207.0
q1716,6.0
q1717,19.0
q1720,6.0
q1721,129.0
q1727,12.0
q1728,172.0
q1729,149.0
q1730,34.0
q1734,12.0
q1737,34.0
q1738,185.0
q1742,129.0
q1744,86.0
q1745,219.0
q1746,1.0
q1749,1.0
q1752,14.0
q1753,92.0
q1754,63.0
q1755,122.0
q1756,75.0
q1757,46.0
q1758,86.0
q1759,15.0
q1760,171.0
q1761,75.0
q1762,206.0
q1763,75.0
q1764,63.0
q1766,75.0
q1768,140.0
q1769,1.0
q1770,21.0
q1772,86.0
q1773,19.0
q1775,19.0
q1776,75.0
q1777,129.0
q1780,86.0
q1781,86.0
q1782,19.0
q1785,207.0
q1788,15.0
q1789,207.0
q1790,6.0
q1791,75.0
q1796,129.0
q1800,86.0
q1802,46.0
q1803,19.0
q1806,46.0
q1807,50.0
q1814,207.0
q1815,81.0
q1816,162.0
q1823,86.0
q1825,6.0
q1827,140.0
q1828,185.0
q1830,207.0
q1831,6.0
q1832,86.0
q1835,86.0
q1841,85.0
q1843,8.0
q1844,34.0
q1845,153.0
q1846,129.0
q1847,140.0
q1848,129.0
q1849,207.0
q1850,140.0
q1851,207.0
q1852,12.0
q1854,129.0
q1856,12.0
q1858,129.0
q1859,215.0
q1860,207.0
q1862,129.0
q1863,85.0
q1864,206.0
q1866,112.0
q1869,1.0
q1872,1.0
q1875,46.0
q1882,153.0
q1884,207.0
q1887,21.0
q1888,12.0
q1891,12.0
q1893,12.0
q1894,129.0
q1895,137.0
q1896,207.0
q1897,86.0
q1901,12.0
q1902,237.0
q1903,153.0
q1905,86.0
q1906,12.0
q1907,153.0
q1908,129.0
q1909,49.0
q1910,129.0
q1912,110.0
q1913,86.0
q1917,1.0
q1918,237.0
q1921,129.0
q1922,129.0
q1926,12.0
q1927,237.0
q1928,81.0
q1930,12.0
q1949,207.0
q1953,237.0
q1955,34.0
q1957,207.0
q1959,207.0
q1964,207.0
q1971,129.0
q1972,207.0
q1975,132.0
q1978,140.0
q1981,86.0
q1982,75.0
q1983,10.0
q1985,10.0
q1986,46.0
q1987,237.0
q1988,185.0
q1989,10.0
q1991,207.0
q1995,12.0
q1997,86.0
q1998,207.0
q2005,81.0
q2006,28.0
q2008,185.0
q2021,28.0
q2027,207.0
q2028,207.0
q2041,86.0
q2045,195.0
q2051,81.0
q2052,12.0
q2053,12.0
q2061,137.0
q2069,129.0
q2070,1.0
q2072,81.0
q2082,153.0
q2085,12.0
q2086,81.0
q2089,140.0
q2091,12.0
q2095,153.0
q2104,129.0
q2105,12.0
q2111,152.0
q2112,12.0
q2113,10.0
q2119,152.0
q2121,12.0
q2123,34.0
q2133,86.0
q2137,86.0
q2139,86.0
q2142,207.0
q2146,12.0
q2150,19.0
q2158,46.0
q2159,86.0
q2164,12.0
q2166,19.0
q2171,129.0
q2173,207.0
q2176,86.0
q2179,86.0
q2180,81.0
q2181,10.0
q2183,1.0
q2184,6.0
q2185,122.0
q2189,81.0
q2191,129.0
q2192,207.0
q2194,207.0
q2195,49.0
q2198,19.0
q2199,207.0
q2202,12.0
q2203,79.0
q2205,207.0
q2206,207.0
q2207,1.0
q2208,7.0
q2209,153.0
q2213,153.0
q2214,207.0
q2215,158.0
q2216,12.0
q2217,92.0
q2218,102.0
q2220,79.0
q2221,6.0
q2223,91.0
q2224,12.0
q2226,158.0
q2227,185.0
q2228,6.0
q2229,12.0
q2231,207.0
q2232,153.0
q2233,22.0
q2235,86.0
q2236,34.0
q2239,6.0
q2240,207.0
q2241,6.0
q2242,19.0
q2243,207.0
q2245,92.0
q2248,12.0
q2252,12.0
q2255,185.0
q2256,92.0
q2257,207.0
q2258,12.0
q2259,86.0
q2261,86.0
q2262,207.0
q2263,12.0
q2264,51.0
q2267,51.0
q2270,207.0
q2272,86.0
q2273,207.0
q2276,5.0
q2277,86.0
q2279,113.0
q2280,86.0
q2281,137.0
q2284,207.0
q2286,86.0
q2289,92.0
q2298,34.0
q2299,207.0
q2300,56.0
q2301,185.0
q2302,86.0
q2304,7.0
q2307,102.0
q2309,152.0
q2312,110.0
q2315,86.0
q2317,86.0
q2319,86.0
q2321,12.0
q2322,206.0
q2324,12.0
q2325,12.0
q2326,49.0
q2327,12.0
q2328,86.0
q2329,86.0
q2330,185.0
q2332,185.0
q2333,12.0
q2334,153.0
q2335,171.0
q2336,81.0
q2337,110.0
q2338,185.0
q2339,86.0
q2340,12.0
q2341,207.0
q2342,207.0
q2343,86.0
q2344,207.0
q2345,140.0
q2347,207.0
q2348,207.0
q2350,153.0
q2351,207.0
q2354,86.0
q2355,102.0
q2357,86.0
q2358,21.0
q2359,207.0
q2360,102.0
q2364,102.0
q2366,46.0
q2367,129.0
q2368,92.0
q2376,198.0
q2377,86.0
q2384,206.0
q2385,86.0
q2387,46.0
q2391,12.0
q2393,12.0
q2396,15.0
q2397,129.0
q2399,92.0
q2400,12.0
q2401,12.0
q2403,67.0
q2404,92.0
q2409,19.0
q2410,207.0
q2413,10.0
q2415,12.0
q2416,129.0
q2420,81.0
q2423,86.0
q2425,93.0
q2427,207.0
q2428,93.0
q2429,92.0
q2431,153.0
q2432,93.0
q2434,36.0
q2436,158.0
q2438,67.0
q2439,10.0
q2441,12.0
q2442,46.0
q2443,1.0
q2446,92.0
q2447,92.0
q2448,86.0
q2450,92.0
q2451,12.0
q2452,86.0
q2453,207.0
q2455,81.0
q2457,237.0
q2458,237.0
q2461,92.0
q2463,207.0
q2464,206.0
q2465,207.0
q2466,207.0
q2468,34.0
q2469,12.0
q2470,206.0
q2474,198.0
q2478,237.0
q2479,237.0
q2481,237.0
q2482,237.0
q2483,237.0
q2484,237.0
q2486,6.0
q2487,12.0
q2488,237.0
q2491,237.0
q2492,237.0
q2493,237.0
q2494,86.0
q2495,129.0
q2496,86.0
q2497,129.0
q2499,1.0
q2500,132.0
q2502,237.0
q2504,132.0
q2506,132.0
q2507,132.0
q2508,81.0
q2509,137.0
q2510,132.0
q2511,137.0
q2512,132.0
q2513,122.0
q2514,86.0
q2517,81.0
q2518,129.0
q2520,132.0
q2521,12.0
q2522,132.0
q2523,81.0
q2524,132.0
q2529,140.0
q2530,132.0
q2531,132.0
q2533,137.0
q2534,137.0
q2536,137.0
q2538,153.0
q2539,132.0
q2542,137.0
q2545,207.0
q2546,171.0
q2547,12.0
q2548,12.0
q2550,12.0
q2551,12.0
q2552,86.0
q2553,12.0
q2554,12.0
q2557,237.0
q2558,86.0
q2559,110.0
q2560,153.0
q2563,92.0
q2564,185.0
q2566,86.0
q2567,86.0
q2569,1.0
q2571,63.0
q2573,86.0
q2574,206.0
q2575,12.0
q2581,76.0
q2583,129.0
q2584,129.0
q2585,129.0
q2586,86.0
q2588,86.0
q2590,137.0
q2592,86.0
q2593,185.0
q2594,86.0
q2598,86.0
q2599,86.0
q2600,12.0
q2601,153.0
q2602,129.0
q2606,153.0
q2607,85.0
q2608,86.0
q2610,172.0
q2612,85.0
q2615,12.0
q2617,46.0
q2618,110.0
q2620,137.0
q2621,46.0
q2622,110.0
q2623,46.0
q2624,110.0
q2625,46.0
q2628,86.0
q2629,129.0
q2631,153.0
q2632,129.0
q2633,6.0
q2636,39.0
q2637,85.0
q2641,85.0
q2642,92.0
q2643,85.0
q2644,39.0
q2647,207.0
q2650,153.0
q2651,153.0
q2655,22.0
q2669,140.0
q2673,140.0
q2675,237.0
q2679,113.0
q2681,19.0
q2685,19.0
q2687,48.0
q2688,4.0
q2693,19.0
q2698,19.0
q2701,12.0
q2704,153.0
q2706,137.0
q2711,46.0
q2713,207.0
q2719,19.0
q2721,81.0
q2722,207.0
q2725,19.0
q2727,86.0
q2729,140.0
q2730,86.0
q2731,153.0
q2733,85.0
q2734,153.0
q2736,34.0
q2737,237.0
q2738,19.0
q2739,153.0
q2741,198.0
q2742,86.0
q2743,153.0
q2744,153.0
q2745,153.0
q2746,153.0
q2748,153.0
q2751,102.0
q2753,86.0
q2756,153.0
q2757,153.0
q2759,153.0
q2760,22.0
q2761,153.0
q2762,86.0
q2763,12.0
q2764,132.0
q2765,12.0
q2767,79.0
q2768,145.0
q2769,12.0
q2770,206.0
q2771,12.0
q2772,201.0
q2773,172.0
q2774,145.0
q2775,12.0
q2776,12.0
q2777,129.0
q2778,171.0
q2784,85.0
q2786,185.0
q2787,34.0
q2791,46.0
q2792,81.0
q2793,171.0
q2799,10.0
q2801,137.0
q2805,129.0
q2809,46.0
q2810,129.0
q2811,110.0
q2812,140.0
q2813,110.0
q2816,46.0
q2817,22.0
q2820,93.0
q2824,110.0
q2828,92.0
q2829,153.0
q2830,12.0
q2833,12.0
q2836,12.0
q2839,153.0
q2840,153.0
q2841,206.0
q2842,171.0
q2843,153.0
q2844,129.0
q2845,12.0
q2846,50.0
q2848,153.0
q2849,185.0
q2850,93.0
q2851,19.0
q2852,237.0
q2853,86.0
q2854,6.0
q2856,86.0
q2858,185.0
q2859,185.0
q2860,185.0
q2861,6.0
q2863,185.0
q2864,185.0
q2865,153.0
q2867,15.0
q2868,153.0
q2869,6.0
q2872,19.0
q2875,129.0
q2876,12.0
q2877,19.0
q2879,129.0
q2880,129.0
q2885,46.0
q2887,19.0
q2889,93.0
q2890,19.0
q2891,185.0
q2893,19.0
q2894,19.0
q2895,122.0
q2896,19.0
q2897,195.0
q2898,19.0
q2900,19.0
q2902,86.0
q2904,185.0
q2905,185.0
q2906,1.0
q2909,36.0
q2910,34.0
q2911,12.0
q2912,153.0
q2913,12.0
q2914,12.0
q2915,12.0
q2916,12.0
q2917,152.0
q2918,12.0
q2919,12.0
q2920,86.0
q2921,85.0
q2922,86.0
q2923,171.0
q2924,185.0
q2925,12.0
q2926,12.0
q2927,153.0
q2928,12.0
q2929,185.0
q2930,185.0
q2931,12.0
q2932,34.0
q2933,86.0
q2934,153.0
q2935,153.0
q2936,185.0
q2937,79.0
q2938,86.0
q2939,12.0
q2941,149.0
q2942,149.0
q2943,12.0
q2948,86.0
q2949,12.0
q2951,46.0
q2953,153.0
q2955,129.0
q2956,56.0
q2957,12.0
q2961,86.0
q2963,86.0
q2965,86.0
q2966,129.0
q2967,86.0
q2968,86.0
q2970,79.0
q2971,153.0
q2972,12.0
q2975,237.0
q2976,1.0
q2977,129.0
q2979,153.0
q2980,242.0
q2981,34.0
q2982,153.0
q2983,207.0
q2985,206.0
q2986,206.0
q2987,206.0
q2989,207.0
q2992,63.0
q2995,237.0
q2997,237.0
q2998,237.0
q2999,22.0
q3000,237.0
q3001,92.0
q3003,237.0
q3004,207.0
q3006,237.0
q3008,237.0
q3013,15.0
q3014,153.0
q3015,10.0
q3016,8.0
q3017,206.0
q3018,86.0
q3019,81.0
q3021,86.0
q3022,92.0
q3026,185.0
q3027,185.0
q3028,237.0
q3030,129.0
q3032,28.0
q3033,129.0
q3034,14.0
q3036,12.0
q3037,185.0
q3038,12.0
q3039,12.0
q3040,12.0
q3041,1.0
q3042,153.0
q3044,12.0
q3045,85.0
q3046,143.0
q3047,207.0
q3048,207.0
q3052,153.0
q3053,207.0
q3054,153.0
q3055,172.0
q3056,110.0
q3058,12.0
q3059,237.0
q3062,237.0
q3063,129.0
q3064,207.0
q3065,182.0
q3066,237.0
q3067,12.0
q3069,206.0
q3070,12.0
q3071,152.0
q3073,81.0
q3074,12.0
q3085,12.0
q3089,129.0
q3091,237.0
q3092,19.0
q3094,207.0
q3096,10.0
q3099,12.0
q3101,12.0
q3103,81.0
q3104,137.0
q3105,206.0
q3109,206.0
q3111,122.0
q3114,153.0
q3117,172.0
q3120,153.0
q3121,153.0
q3123,172.0
q3124,207.0
q3125,172.0
q3126,129.0
q3127,207.0
q3128,63.0
q3129,6.0
q3130,137.0
q3132,12.0
q3135,81.0
q3138,63.0
q3139,153.0
q3143,86.0
q3144,8.0
q3145,34.0
q3146,10.0
q3147,12.0
q3148,129.0
q3149,6.0
q3150,19.0
q3151,19.0
q3152,86.0
q3153,16.0
q3154,207.0
q3155,86.0
q3156,12.0
q3157,207.0
q3159,12.0
q3160,207.0
q3161,63.0
q3162,81.0
q3164,86.0
q3165,137.0
q3166,6.0
q3167,75.0
q3168,86.0
q3169,6.0
q3170,99.0
q3173,8.0
q3174,1.0
q3176,172.0
q3179,86.0
q3180,207.0
q3182,75.0
q3184,153.0
q3187,86.0
q3189,4.0
q3194,50.0
q3196,63.0
q3198,152.0
q3199,19.0
q3202,207.0
q3204,113.0
q3207,81.0
q3209,152.0
q3211,92.0
q3212,207.0
q3214,102.0
q3216,19.0
q3217,92.0
q3218,85.0
q3219,86.0
q3222,28.0
q3225,185.0
q3227,12.0
q3228,129.0
q3229,129.0
q3241,12.0
q3242,207.0
q3243,153.0
q3244,86.0
q3248,76.0
q3249,207.0
q3250,22.0
q3251,92.0
q3253,51.0
q3254,113.0
q3256,110.0
q3257,92.0
q3263,110.0
q3265,185.0
q3266,86.0
q3272,198.0
q3280,198.0
q3281,92.0
q3286,113.0
q3287,162.0
q3289,215.0
q3290,129.0
q3292,12.0
q3294,185.0
q3295,152.0
q3296,86.0
q3297,129.0
q3298,237.0
q3300,81.0
q3301,153.0
q3302,207.0
q3303,85.0
q3305,21.0
q3308,102.0
q3309,12.0
q3312,46.0
q3313,129.0
q3315,79.0
q3316,132.0
q3320,12.0
q3321,12.0
q3322,12.0
q3324,21.0
q3328,10.0
q3332,12.0
q3333,86.0
q3335,86.0
q3336,86.0
q3337,12.0
q3339,12.0
q3340,86.0
q3341,86.0
q3342,12.0
q3344,86.0
q3345,12.0
q3346,86.0
q3347,129.0
q3349,86.0
q3350,86.0
q3353,207.0
q3354,90.0
q3355,12.0
q3356,86.0
q3357,102.0
q3358,86.0
q3359,6.0
q3361,153.0
q3366,110.0
q3367,12.0
q3369,92.0
q3372,10.0
q3373,153.0
q3374,12.0
q3375,10.0
q3378,207.0
q3380,110.0
q3381,185.0
q3383,86.0
q3384,86.0
q3385,86.0
q3386,198.0
q3387,12.0
q3388,67.0
q3389,172.0
q3390,143.0
q3391,242.0
q3392,81.0
q3395,12.0
q3404,153.0
q3411,86.0
q3414,242.0
q3415,142.0
q3416,242.0
q3417,12.0
q3418,6.0
q3419,86.0
q3422,242.0
q3423,242.0
q3425,110.0
q3426,85.0
q3427,110.0
q3429,207.0
q3430,153.0
q3431,158.0
q3432,110.0
q3433,46.0
q3434,129.0
q3435,46.0
q3437,46.0
q3438,110.0
q3439,86.0
q3441,110.0
q3442,46.0
q3443,110.0
q3446,110.0
q3448,63.0
q3449,110.0
q3450,85.0
q3451,110.0
q3454,129.0
q3458,207.0
q3460,207.0
q3462,46.0
q3464,207.0
q3467,137.0
q3468,129.0
q3469,140.0
q3471,6.0
q3475,237.0
q3476,237.0
q3477,237.0
q3478,237.0
q3479,12.0
